problem_1,file_1,problem_2,file_2,unixcoder_cosine,unixcoder_l2,unixcoder_manhattan
p00118,s007996243.cpp,p00118,s531360425.cpp,0.8408,0.5642,11.8196
p00118,s007996243.cpp,p00118,s617630367.cpp,0.8251,0.5915,12.2645
p00118,s007996243.cpp,p00118,s693559256.cpp,0.8389,0.5677,11.9118
p00118,s007996243.cpp,p00118,s881701389.cpp,0.8107,0.6153,11.897
p00118,s007996243.cpp,p00118,s916567837.cpp,0.8405,0.5649,11.8548
p00118,s007996243.cpp,p00118,s968566472.cpp,0.8263,0.5895,12.045
p00118,s010586621.cpp,p00118,s015107588.cpp,0.8276,0.5873,12.7998
p00118,s010586621.cpp,p00118,s023159886.cpp,0.8177,0.6039,13.1393
p00118,s010586621.cpp,p00118,s025016103.cpp,0.7601,0.6927,15.1826
p00118,s010586621.cpp,p00118,s025694316.cpp,0.6806,0.7992,16.0816
p00118,s010586621.cpp,p00118,s029981568.cpp,0.8405,0.5648,12.2068
p00118,s010586621.cpp,p00118,s030305382.cpp,0.8463,0.5544,11.8462
p00118,s010586621.cpp,p00118,s063906183.cpp,0.7563,0.6981,13.5457
p00118,s010586621.cpp,p00118,s074715139.cpp,0.847,0.5532,12.0345
p00118,s010586621.cpp,p00118,s129847702.cpp,0.8539,0.5405,11.9441
p00118,s010586621.cpp,p00118,s246241553.cpp,0.8723,0.5053,11.2196
p00118,s010586621.cpp,p00118,s327876566.cpp,0.8503,0.5472,12.1444
p00118,s010586621.cpp,p00118,s531360425.cpp,0.8545,0.5395,11.9115
p00118,s010586621.cpp,p00118,s617630367.cpp,0.8541,0.5402,11.8042
p00118,s010586621.cpp,p00118,s693559256.cpp,0.8503,0.5472,12.1444
p00118,s010586621.cpp,p00118,s881701389.cpp,0.8049,0.6246,13.0939
p00118,s010586621.cpp,p00118,s916567837.cpp,0.8545,0.5395,11.9262
p00118,s010586621.cpp,p00118,s968566472.cpp,0.8719,0.5062,11.19
p00118,s015107588.cpp,p00118,s023159886.cpp,0.7774,0.6672,14.5808
p00118,s015107588.cpp,p00118,s025016103.cpp,0.8024,0.6286,13.6768
p00118,s015107588.cpp,p00118,s025694316.cpp,0.7383,0.7235,15.2311
p00118,s015107588.cpp,p00118,s029981568.cpp,0.819,0.6017,13.0911
p00118,s015107588.cpp,p00118,s030305382.cpp,0.8392,0.5672,12.5269
p00118,s015107588.cpp,p00118,s063906183.cpp,0.7313,0.7331,15.0956
p00118,s015107588.cpp,p00118,s074715139.cpp,0.7827,0.6593,14.5744
p00118,s015107588.cpp,p00118,s129847702.cpp,0.7907,0.647,14.1996
p00118,s015107588.cpp,p00118,s246241553.cpp,0.8617,0.5259,11.6617
p00118,s015107588.cpp,p00118,s327876566.cpp,0.787,0.6526,14.3283
p00118,s015107588.cpp,p00118,s531360425.cpp,0.7925,0.6442,14.1369
p00118,s015107588.cpp,p00118,s617630367.cpp,0.7884,0.6506,14.3606
p00118,s015107588.cpp,p00118,s693559256.cpp,0.787,0.6526,14.3283
p00118,s015107588.cpp,p00118,s881701389.cpp,0.8014,0.6303,13.485
p00118,s015107588.cpp,p00118,s916567837.cpp,0.7903,0.6476,14.2211
p00118,s015107588.cpp,p00118,s968566472.cpp,0.8611,0.527,11.7148
p00118,s023159886.cpp,p00118,s025016103.cpp,0.6879,0.7901,17.0722
p00118,s023159886.cpp,p00118,s025694316.cpp,0.6485,0.8384,17.7551
p00118,s023159886.cpp,p00118,s029981568.cpp,0.8292,0.5844,12.963
p00118,s023159886.cpp,p00118,s030305382.cpp,0.7937,0.6424,13.9939
p00118,s023159886.cpp,p00118,s063906183.cpp,0.7995,0.6333,12.629
p00118,s023159886.cpp,p00118,s074715139.cpp,0.8448,0.5572,12.4386
p00118,s023159886.cpp,p00118,s129847702.cpp,0.858,0.5328,11.8193
p00118,s023159886.cpp,p00118,s246241553.cpp,0.841,0.5638,12.3385
p00118,s023159886.cpp,p00118,s327876566.cpp,0.8557,0.5371,11.8764
p00118,s023159886.cpp,p00118,s531360425.cpp,0.8583,0.5323,11.7852
p00118,s023159886.cpp,p00118,s617630367.cpp,0.8515,0.545,12.1597
p00118,s023159886.cpp,p00118,s693559256.cpp,0.8557,0.5371,11.8764
p00118,s023159886.cpp,p00118,s881701389.cpp,0.8193,0.6012,13.1498
p00118,s023159886.cpp,p00118,s916567837.cpp,0.8569,0.535,11.8841
p00118,s023159886.cpp,p00118,s968566472.cpp,0.8428,0.5607,12.31
p00118,s025016103.cpp,p00118,s025694316.cpp,0.7566,0.6977,14.489
p00118,s025016103.cpp,p00118,s029981568.cpp,0.696,0.7797,16.8562
p00118,s025016103.cpp,p00118,s030305382.cpp,0.8167,0.6055,13.14
p00118,s025016103.cpp,p00118,s063906183.cpp,0.6559,0.8296,17.1873
p00118,s025016103.cpp,p00118,s074715139.cpp,0.7478,0.7102,15.5187
p00118,s025016103.cpp,p00118,s129847702.cpp,0.7487,0.709,15.486
p00118,s025016103.cpp,p00118,s246241553.cpp,0.7708,0.6771,14.8326
p00118,s025016103.cpp,p00118,s327876566.cpp,0.7445,0.7149,15.6266
p00118,s025016103.cpp,p00118,s531360425.cpp,0.75,0.7071,15.4272
p00118,s025016103.cpp,p00118,s617630367.cpp,0.7519,0.7044,15.3658
p00118,s025016103.cpp,p00118,s693559256.cpp,0.7445,0.7149,15.6266
p00118,s025016103.cpp,p00118,s881701389.cpp,0.675,0.8062,17.4855
p00118,s025016103.cpp,p00118,s916567837.cpp,0.751,0.7058,15.401
p00118,s025016103.cpp,p00118,s968566472.cpp,0.7719,0.6754,14.7436
p00118,s025694316.cpp,p00118,s029981568.cpp,0.6744,0.8069,17.0716
p00118,s025694316.cpp,p00118,s030305382.cpp,0.754,0.7014,14.9266
p00118,s025694316.cpp,p00118,s063906183.cpp,0.7512,0.7055,15.7044
p00118,s025694316.cpp,p00118,s074715139.cpp,0.6902,0.7871,16.7079
p00118,s025694316.cpp,p00118,s129847702.cpp,0.667,0.8161,16.9646
p00118,s025694316.cpp,p00118,s246241553.cpp,0.6811,0.7986,16.6665
p00118,s025694316.cpp,p00118,s327876566.cpp,0.6636,0.8203,17.0875
p00118,s025694316.cpp,p00118,s531360425.cpp,0.6701,0.8123,16.8936
p00118,s025694316.cpp,p00118,s617630367.cpp,0.6943,0.7819,16.5883
p00118,s025694316.cpp,p00118,s693559256.cpp,0.6636,0.8203,17.0875
p00118,s025694316.cpp,p00118,s881701389.cpp,0.7119,0.759,16.4749
p00118,s025694316.cpp,p00118,s916567837.cpp,0.6696,0.8128,16.9961
p00118,s025694316.cpp,p00118,s968566472.cpp,0.6937,0.7827,16.375
p00118,s029981568.cpp,p00118,s030305382.cpp,0.823,0.595,12.9262
p00118,s029981568.cpp,p00118,s063906183.cpp,0.7908,0.6469,12.9387
p00118,s029981568.cpp,p00118,s074715139.cpp,0.8298,0.5835,13.0513
p00118,s029981568.cpp,p00118,s129847702.cpp,0.8437,0.559,12.5557
p00118,s029981568.cpp,p00118,s246241553.cpp,0.8548,0.5388,11.9433
p00118,s029981568.cpp,p00118,s327876566.cpp,0.8428,0.5608,12.5552
p00118,s029981568.cpp,p00118,s531360425.cpp,0.8464,0.5543,12.4094
p00118,s029981568.cpp,p00118,s617630367.cpp,0.8339,0.5763,12.8957
p00118,s029981568.cpp,p00118,s693559256.cpp,0.8428,0.5608,12.5552
p00118,s029981568.cpp,p00118,s881701389.cpp,0.8885,0.4722,10.1888
p00118,s029981568.cpp,p00118,s916567837.cpp,0.8429,0.5606,12.5654
p00118,s029981568.cpp,p00118,s968566472.cpp,0.8552,0.5381,11.921
p00118,s030305382.cpp,p00118,s063906183.cpp,0.8248,0.592,12.2718
p00118,s030305382.cpp,p00118,s074715139.cpp,0.852,0.544,11.944
p00118,s030305382.cpp,p00118,s129847702.cpp,0.8598,0.5296,11.45
p00118,s030305382.cpp,p00118,s246241553.cpp,0.8904,0.4682,10.46
p00118,s030305382.cpp,p00118,s327876566.cpp,0.8572,0.5345,11.5658
p00118,s030305382.cpp,p00118,s531360425.cpp,0.8619,0.5255,11.4029
p00118,s030305382.cpp,p00118,s617630367.cpp,0.857,0.5348,11.7161
p00118,s030305382.cpp,p00118,s693559256.cpp,0.8572,0.5345,11.5658
p00118,s030305382.cpp,p00118,s881701389.cpp,0.8282,0.5861,13.0725
p00118,s030305382.cpp,p00118,s916567837.cpp,0.8608,0.5276,11.4524
p00118,s030305382.cpp,p00118,s968566472.cpp,0.8947,0.4589,10.3388
p00118,s063906183.cpp,p00118,s074715139.cpp,0.8403,0.5652,11.5866
p00118,s063906183.cpp,p00118,s129847702.cpp,0.8362,0.5723,11.2792
p00118,s063906183.cpp,p00118,s246241553.cpp,0.8261,0.5897,11.6875
p00118,s063906183.cpp,p00118,s327876566.cpp,0.836,0.5728,11.3537
p00118,s063906183.cpp,p00118,s531360425.cpp,0.8369,0.5712,11.3045
p00118,s063906183.cpp,p00118,s617630367.cpp,0.846,0.555,11.2531
p00118,s063906183.cpp,p00118,s693559256.cpp,0.836,0.5728,11.3537
p00118,s063906183.cpp,p00118,s881701389.cpp,0.8733,0.5034,10.7487
p00118,s063906183.cpp,p00118,s916567837.cpp,0.8361,0.5726,11.3467
p00118,s063906183.cpp,p00118,s968566472.cpp,0.8328,0.5783,11.5239
p00118,s074715139.cpp,p00118,s129847702.cpp,0.987,0.1613,3.4691
p00118,s074715139.cpp,p00118,s246241553.cpp,0.8958,0.4564,10.1248
p00118,s074715139.cpp,p00118,s327876566.cpp,0.9859,0.1682,3.6738
p00118,s074715139.cpp,p00118,s531360425.cpp,0.9875,0.158,3.4356
p00118,s074715139.cpp,p00118,s617630367.cpp,0.9984,0.0571,1.2437
p00118,s074715139.cpp,p00118,s693559256.cpp,0.9859,0.1682,3.6738
p00118,s074715139.cpp,p00118,s881701389.cpp,0.8731,0.5037,11.0703
p00118,s074715139.cpp,p00118,s916567837.cpp,0.9905,0.1378,2.9888
p00118,s074715139.cpp,p00118,s968566472.cpp,0.8988,0.45,9.9868
p00118,s129847702.cpp,p00118,s246241553.cpp,0.9031,0.4401,9.754
p00118,s129847702.cpp,p00118,s327876566.cpp,0.9982,0.0592,1.3145
p00118,s129847702.cpp,p00118,s531360425.cpp,0.9988,0.0481,1.0487
p00118,s129847702.cpp,p00118,s617630367.cpp,0.9881,0.154,3.3344
p00118,s129847702.cpp,p00118,s693559256.cpp,0.9982,0.0592,1.3145
p00118,s129847702.cpp,p00118,s881701389.cpp,0.8791,0.4917,10.5345
p00118,s129847702.cpp,p00118,s916567837.cpp,0.9982,0.0601,1.3185
p00118,s129847702.cpp,p00118,s968566472.cpp,0.9037,0.4388,9.6941
p00118,s246241553.cpp,p00118,s327876566.cpp,0.8994,0.4486,9.9451
p00118,s246241553.cpp,p00118,s531360425.cpp,0.9032,0.4401,9.7485
p00118,s246241553.cpp,p00118,s617630367.cpp,0.9013,0.4443,9.806
p00118,s246241553.cpp,p00118,s693559256.cpp,0.8994,0.4486,9.9451
p00118,s246241553.cpp,p00118,s881701389.cpp,0.8418,0.5625,12.0977
p00118,s246241553.cpp,p00118,s916567837.cpp,0.902,0.4428,9.8359
p00118,s246241553.cpp,p00118,s968566472.cpp,0.9987,0.0517,1.1184
p00118,s327876566.cpp,p00118,s531360425.cpp,0.9993,0.0377,0.8279
p00118,s327876566.cpp,p00118,s617630367.cpp,0.9866,0.1636,3.622
p00118,s327876566.cpp,p00118,s693559256.cpp,1.0,0.0,0.0
p00118,s327876566.cpp,p00118,s881701389.cpp,0.8775,0.4949,10.6351
p00118,s327876566.cpp,p00118,s916567837.cpp,0.9979,0.0655,1.4492
p00118,s327876566.cpp,p00118,s968566472.cpp,0.9002,0.4467,9.886
p00118,s531360425.cpp,p00118,s617630367.cpp,0.9883,0.1527,3.3837
p00118,s531360425.cpp,p00118,s693559256.cpp,0.9993,0.0377,0.8279
p00118,s531360425.cpp,p00118,s881701389.cpp,0.879,0.4919,10.554
p00118,s531360425.cpp,p00118,s916567837.cpp,0.9986,0.0537,1.1828
p00118,s531360425.cpp,p00118,s968566472.cpp,0.9039,0.4383,9.6901
p00118,s617630367.cpp,p00118,s693559256.cpp,0.9866,0.1636,3.622
p00118,s617630367.cpp,p00118,s881701389.cpp,0.8766,0.4969,10.8798
p00118,s617630367.cpp,p00118,s916567837.cpp,0.991,0.1344,2.9309
p00118,s617630367.cpp,p00118,s968566472.cpp,0.9042,0.4378,9.6706
p00118,s693559256.cpp,p00118,s881701389.cpp,0.8775,0.4949,10.6351
p00118,s693559256.cpp,p00118,s916567837.cpp,0.9979,0.0655,1.4492
p00118,s693559256.cpp,p00118,s968566472.cpp,0.9002,0.4467,9.886
p00118,s881701389.cpp,p00118,s916567837.cpp,0.8772,0.4955,10.6778
p00118,s881701389.cpp,p00118,s968566472.cpp,0.8449,0.557,12.0529
p00118,s916567837.cpp,p00118,s968566472.cpp,0.9026,0.4414,9.8055
