problem_1,file_1,problem_2,file_2,S_AST
p00118,s010586621.cpp,p00118,s025016103.cpp,0.4308
p00118,s010586621.cpp,p00118,s025694316.cpp,0.3487
p00118,s010586621.cpp,p00118,s029981568.cpp,0.6784
p00118,s010586621.cpp,p00118,s030305382.cpp,0.6937
p00118,s010586621.cpp,p00118,s063906183.cpp,0.6709
p00118,s010586621.cpp,p00118,s074715139.cpp,0.6722
p00118,s010586621.cpp,p00118,s129847702.cpp,0.6934
p00118,s010586621.cpp,p00118,s246241553.cpp,0.6942
p00118,s010586621.cpp,p00118,s327876566.cpp,0.6934
p00118,s010586621.cpp,p00118,s531360425.cpp,0.6934
p00118,s010586621.cpp,p00118,s617630367.cpp,0.6722
p00118,s010586621.cpp,p00118,s693559256.cpp,0.6934
p00118,s010586621.cpp,p00118,s881701389.cpp,0.6734
p00118,s010586621.cpp,p00118,s916567837.cpp,0.6977
p00118,s010586621.cpp,p00118,s968566472.cpp,0.6982
p00118,s015107588.cpp,p00118,s023159886.cpp,0.75
p00118,s015107588.cpp,p00118,s025016103.cpp,0.4617
p00118,s015107588.cpp,p00118,s025694316.cpp,0.3885
p00118,s015107588.cpp,p00118,s029981568.cpp,0.7583
p00118,s015107588.cpp,p00118,s030305382.cpp,0.787
p00118,s015107588.cpp,p00118,s063906183.cpp,0.7816
p00118,s015107588.cpp,p00118,s074715139.cpp,0.7623
p00118,s015107588.cpp,p00118,s129847702.cpp,0.7864
p00118,s015107588.cpp,p00118,s246241553.cpp,0.8204
p00118,s015107588.cpp,p00118,s327876566.cpp,0.7773
p00118,s015107588.cpp,p00118,s531360425.cpp,0.7773
p00118,s015107588.cpp,p00118,s617630367.cpp,0.7623
p00118,s015107588.cpp,p00118,s693559256.cpp,0.7773
p00118,s015107588.cpp,p00118,s881701389.cpp,0.7348
p00118,s015107588.cpp,p00118,s916567837.cpp,0.7773
p00118,s015107588.cpp,p00118,s968566472.cpp,0.8018
p00118,s023159886.cpp,p00118,s025016103.cpp,0.4408
p00118,s023159886.cpp,p00118,s025694316.cpp,0.3911
p00118,s023159886.cpp,p00118,s029981568.cpp,0.7934
p00118,s023159886.cpp,p00118,s030305382.cpp,0.7716
p00118,s023159886.cpp,p00118,s063906183.cpp,0.7836
p00118,s023159886.cpp,p00118,s074715139.cpp,0.7467
p00118,s023159886.cpp,p00118,s129847702.cpp,0.7748
p00118,s023159886.cpp,p00118,s246241553.cpp,0.7912
p00118,s023159886.cpp,p00118,s327876566.cpp,0.7883
p00118,s023159886.cpp,p00118,s531360425.cpp,0.7883
p00118,s023159886.cpp,p00118,s617630367.cpp,0.7467
p00118,s023159886.cpp,p00118,s693559256.cpp,0.7883
p00118,s023159886.cpp,p00118,s881701389.cpp,0.8103
p00118,s023159886.cpp,p00118,s916567837.cpp,0.7748
p00118,s023159886.cpp,p00118,s968566472.cpp,0.8035
p00118,s025016103.cpp,p00118,s025694316.cpp,0.549
p00118,s025016103.cpp,p00118,s029981568.cpp,0.4431
p00118,s025016103.cpp,p00118,s030305382.cpp,0.4466
p00118,s025016103.cpp,p00118,s063906183.cpp,0.4134
p00118,s025016103.cpp,p00118,s074715139.cpp,0.4127
p00118,s025016103.cpp,p00118,s129847702.cpp,0.4182
p00118,s025016103.cpp,p00118,s246241553.cpp,0.4296
p00118,s025016103.cpp,p00118,s327876566.cpp,0.4182
p00118,s025016103.cpp,p00118,s531360425.cpp,0.4182
p00118,s025016103.cpp,p00118,s617630367.cpp,0.4127
p00118,s025016103.cpp,p00118,s693559256.cpp,0.4182
p00118,s025016103.cpp,p00118,s881701389.cpp,0.4274
p00118,s025016103.cpp,p00118,s916567837.cpp,0.4182
p00118,s025016103.cpp,p00118,s968566472.cpp,0.4305
p00118,s025694316.cpp,p00118,s029981568.cpp,0.3911
p00118,s025694316.cpp,p00118,s030305382.cpp,0.3801
p00118,s025694316.cpp,p00118,s063906183.cpp,0.3552
p00118,s025694316.cpp,p00118,s074715139.cpp,0.3509
p00118,s025694316.cpp,p00118,s129847702.cpp,0.3576
p00118,s025694316.cpp,p00118,s246241553.cpp,0.3599
p00118,s025694316.cpp,p00118,s327876566.cpp,0.3598
p00118,s025694316.cpp,p00118,s531360425.cpp,0.3598
p00118,s025694316.cpp,p00118,s617630367.cpp,0.3509
p00118,s025694316.cpp,p00118,s693559256.cpp,0.3598
p00118,s025694316.cpp,p00118,s881701389.cpp,0.3737
p00118,s025694316.cpp,p00118,s916567837.cpp,0.3554
p00118,s025694316.cpp,p00118,s968566472.cpp,0.3696
p00118,s029981568.cpp,p00118,s030305382.cpp,0.8448
p00118,s029981568.cpp,p00118,s063906183.cpp,0.7745
p00118,s029981568.cpp,p00118,s074715139.cpp,0.7422
p00118,s029981568.cpp,p00118,s129847702.cpp,0.7748
p00118,s029981568.cpp,p00118,s246241553.cpp,0.7912
p00118,s029981568.cpp,p00118,s327876566.cpp,0.7883
p00118,s029981568.cpp,p00118,s531360425.cpp,0.7883
p00118,s029981568.cpp,p00118,s617630367.cpp,0.7422
p00118,s029981568.cpp,p00118,s693559256.cpp,0.7883
p00118,s029981568.cpp,p00118,s881701389.cpp,0.8233
p00118,s029981568.cpp,p00118,s916567837.cpp,0.7748
p00118,s029981568.cpp,p00118,s968566472.cpp,0.8035
p00118,s030305382.cpp,p00118,s063906183.cpp,0.8353
p00118,s030305382.cpp,p00118,s074715139.cpp,0.8
p00118,s030305382.cpp,p00118,s129847702.cpp,0.8349
p00118,s030305382.cpp,p00118,s246241553.cpp,0.8552
p00118,s030305382.cpp,p00118,s327876566.cpp,0.8491
p00118,s030305382.cpp,p00118,s531360425.cpp,0.8491
p00118,s030305382.cpp,p00118,s617630367.cpp,0.8
p00118,s030305382.cpp,p00118,s693559256.cpp,0.8491
p00118,s030305382.cpp,p00118,s881701389.cpp,0.7793
p00118,s030305382.cpp,p00118,s916567837.cpp,0.8349
p00118,s030305382.cpp,p00118,s968566472.cpp,0.8721
p00118,s063906183.cpp,p00118,s074715139.cpp,0.8543
p00118,s063906183.cpp,p00118,s129847702.cpp,0.8972
p00118,s063906183.cpp,p00118,s246241553.cpp,0.8488
p00118,s063906183.cpp,p00118,s327876566.cpp,0.9123
p00118,s063906183.cpp,p00118,s531360425.cpp,0.9123
p00118,s063906183.cpp,p00118,s617630367.cpp,0.8543
p00118,s063906183.cpp,p00118,s693559256.cpp,0.9123
p00118,s063906183.cpp,p00118,s881701389.cpp,0.8305
p00118,s063906183.cpp,p00118,s916567837.cpp,0.8972
p00118,s063906183.cpp,p00118,s968566472.cpp,0.8668
p00118,s074715139.cpp,p00118,s129847702.cpp,0.8927
p00118,s074715139.cpp,p00118,s246241553.cpp,0.8219
p00118,s074715139.cpp,p00118,s327876566.cpp,0.8927
p00118,s074715139.cpp,p00118,s531360425.cpp,0.8927
p00118,s074715139.cpp,p00118,s617630367.cpp,1.0
p00118,s074715139.cpp,p00118,s693559256.cpp,0.8927
p00118,s074715139.cpp,p00118,s881701389.cpp,0.7767
p00118,s074715139.cpp,p00118,s916567837.cpp,0.9024
p00118,s074715139.cpp,p00118,s968566472.cpp,0.8349
p00118,s129847702.cpp,p00118,s246241553.cpp,0.8771
p00118,s129847702.cpp,p00118,s327876566.cpp,0.9554
p00118,s129847702.cpp,p00118,s531360425.cpp,0.9554
p00118,s129847702.cpp,p00118,s617630367.cpp,0.8927
p00118,s129847702.cpp,p00118,s693559256.cpp,0.9554
p00118,s129847702.cpp,p00118,s881701389.cpp,0.816
p00118,s129847702.cpp,p00118,s916567837.cpp,0.9554
p00118,s129847702.cpp,p00118,s968566472.cpp,0.89
p00118,s246241553.cpp,p00118,s327876566.cpp,0.8627
p00118,s246241553.cpp,p00118,s531360425.cpp,0.8627
p00118,s246241553.cpp,p00118,s617630367.cpp,0.8219
p00118,s246241553.cpp,p00118,s693559256.cpp,0.8627
p00118,s246241553.cpp,p00118,s881701389.cpp,0.7816
p00118,s246241553.cpp,p00118,s916567837.cpp,0.8627
p00118,s246241553.cpp,p00118,s968566472.cpp,0.9464
p00118,s327876566.cpp,p00118,s531360425.cpp,1.0
p00118,s327876566.cpp,p00118,s617630367.cpp,0.8927
p00118,s327876566.cpp,p00118,s693559256.cpp,1.0
p00118,s327876566.cpp,p00118,s881701389.cpp,0.8302
p00118,s327876566.cpp,p00118,s916567837.cpp,0.9554
p00118,s327876566.cpp,p00118,s968566472.cpp,0.8756
p00118,s531360425.cpp,p00118,s617630367.cpp,0.8927
p00118,s531360425.cpp,p00118,s693559256.cpp,1.0
p00118,s531360425.cpp,p00118,s881701389.cpp,0.8302
p00118,s531360425.cpp,p00118,s916567837.cpp,0.9554
p00118,s531360425.cpp,p00118,s968566472.cpp,0.8756
p00118,s617630367.cpp,p00118,s693559256.cpp,0.8927
p00118,s617630367.cpp,p00118,s881701389.cpp,0.7767
p00118,s617630367.cpp,p00118,s916567837.cpp,0.9024
p00118,s617630367.cpp,p00118,s968566472.cpp,0.8349
p00118,s693559256.cpp,p00118,s881701389.cpp,0.8302
p00118,s693559256.cpp,p00118,s916567837.cpp,0.9554
p00118,s693559256.cpp,p00118,s968566472.cpp,0.8756
p00118,s881701389.cpp,p00118,s916567837.cpp,0.816
p00118,s881701389.cpp,p00118,s968566472.cpp,0.7945
p00118,s916567837.cpp,p00118,s968566472.cpp,0.8756
