problem_1,file_1,problem_2,file_2,S_token
p00118,s007996243.cpp,p00118,s129847702.cpp,0.45454545454545453
p00118,s007996243.cpp,p00118,s246241553.cpp,0.4122137404580153
p00118,s007996243.cpp,p00118,s327876566.cpp,0.43609022556390975
p00118,s007996243.cpp,p00118,s531360425.cpp,0.42105263157894735
p00118,s007996243.cpp,p00118,s617630367.cpp,0.3333333333333333
p00118,s007996243.cpp,p00118,s693559256.cpp,0.43609022556390975
p00118,s007996243.cpp,p00118,s881701389.cpp,0.5255474452554745
p00118,s007996243.cpp,p00118,s916567837.cpp,0.42748091603053434
p00118,s007996243.cpp,p00118,s968566472.cpp,0.40298507462686567
p00118,s010586621.cpp,p00118,s015107588.cpp,0.515625
p00118,s010586621.cpp,p00118,s023159886.cpp,0.46616541353383456
p00118,s010586621.cpp,p00118,s025016103.cpp,0.4228571428571429
p00118,s010586621.cpp,p00118,s025694316.cpp,0.1875
p00118,s010586621.cpp,p00118,s029981568.cpp,0.47761194029850745
p00118,s010586621.cpp,p00118,s030305382.cpp,0.3968253968253968
p00118,s010586621.cpp,p00118,s063906183.cpp,0.4566929133858268
p00118,s010586621.cpp,p00118,s074715139.cpp,0.3968253968253968
p00118,s010586621.cpp,p00118,s129847702.cpp,0.464
p00118,s010586621.cpp,p00118,s246241553.cpp,0.41935483870967744
p00118,s010586621.cpp,p00118,s327876566.cpp,0.4126984126984127
p00118,s010586621.cpp,p00118,s531360425.cpp,0.42857142857142855
p00118,s010586621.cpp,p00118,s617630367.cpp,0.416
p00118,s010586621.cpp,p00118,s693559256.cpp,0.4126984126984127
p00118,s010586621.cpp,p00118,s881701389.cpp,0.5076923076923077
p00118,s010586621.cpp,p00118,s916567837.cpp,0.45161290322580644
p00118,s010586621.cpp,p00118,s968566472.cpp,0.4094488188976378
p00118,s015107588.cpp,p00118,s023159886.cpp,0.43609022556390975
p00118,s015107588.cpp,p00118,s025016103.cpp,0.3657142857142857
p00118,s015107588.cpp,p00118,s025694316.cpp,0.3125
p00118,s015107588.cpp,p00118,s029981568.cpp,0.5074626865671642
p00118,s015107588.cpp,p00118,s030305382.cpp,0.5396825396825397
p00118,s015107588.cpp,p00118,s063906183.cpp,0.5984251968503937
p00118,s015107588.cpp,p00118,s074715139.cpp,0.4603174603174603
p00118,s015107588.cpp,p00118,s129847702.cpp,0.592
p00118,s015107588.cpp,p00118,s246241553.cpp,0.5967741935483871
p00118,s015107588.cpp,p00118,s327876566.cpp,0.5555555555555556
p00118,s015107588.cpp,p00118,s531360425.cpp,0.5714285714285714
p00118,s015107588.cpp,p00118,s617630367.cpp,0.496
p00118,s015107588.cpp,p00118,s693559256.cpp,0.5555555555555556
p00118,s015107588.cpp,p00118,s881701389.cpp,0.47692307692307695
p00118,s015107588.cpp,p00118,s916567837.cpp,0.5806451612903226
p00118,s015107588.cpp,p00118,s968566472.cpp,0.5826771653543307
p00118,s023159886.cpp,p00118,s025016103.cpp,0.35555555555555557
p00118,s023159886.cpp,p00118,s025694316.cpp,0.3147208121827411
p00118,s023159886.cpp,p00118,s029981568.cpp,0.5899280575539568
p00118,s023159886.cpp,p00118,s030305382.cpp,0.48854961832061067
p00118,s023159886.cpp,p00118,s063906183.cpp,0.5
p00118,s023159886.cpp,p00118,s074715139.cpp,0.366412213740458
p00118,s023159886.cpp,p00118,s129847702.cpp,0.46153846153846156
p00118,s023159886.cpp,p00118,s246241553.cpp,0.5116279069767442
p00118,s023159886.cpp,p00118,s327876566.cpp,0.5038167938931297
p00118,s023159886.cpp,p00118,s531360425.cpp,0.4732824427480916
p00118,s023159886.cpp,p00118,s617630367.cpp,0.38461538461538464
p00118,s023159886.cpp,p00118,s693559256.cpp,0.5038167938931297
p00118,s023159886.cpp,p00118,s881701389.cpp,0.5777777777777777
p00118,s023159886.cpp,p00118,s916567837.cpp,0.43410852713178294
p00118,s023159886.cpp,p00118,s968566472.cpp,0.5
p00118,s025016103.cpp,p00118,s025694316.cpp,0.28451882845188287
p00118,s025016103.cpp,p00118,s029981568.cpp,0.3756906077348066
p00118,s025016103.cpp,p00118,s030305382.cpp,0.2774566473988439
p00118,s025016103.cpp,p00118,s063906183.cpp,0.367816091954023
p00118,s025016103.cpp,p00118,s074715139.cpp,0.3236994219653179
p00118,s025016103.cpp,p00118,s129847702.cpp,0.3488372093023256
p00118,s025016103.cpp,p00118,s246241553.cpp,0.3391812865497076
p00118,s025016103.cpp,p00118,s327876566.cpp,0.31213872832369943
p00118,s025016103.cpp,p00118,s531360425.cpp,0.3236994219653179
p00118,s025016103.cpp,p00118,s617630367.cpp,0.3023255813953488
p00118,s025016103.cpp,p00118,s693559256.cpp,0.31213872832369943
p00118,s025016103.cpp,p00118,s881701389.cpp,0.4180790960451977
p00118,s025016103.cpp,p00118,s916567837.cpp,0.32748538011695905
p00118,s025016103.cpp,p00118,s968566472.cpp,0.3333333333333333
p00118,s025694316.cpp,p00118,s029981568.cpp,0.2727272727272727
p00118,s025694316.cpp,p00118,s030305382.cpp,0.30526315789473685
p00118,s025694316.cpp,p00118,s063906183.cpp,0.33507853403141363
p00118,s025694316.cpp,p00118,s074715139.cpp,0.28421052631578947
p00118,s025694316.cpp,p00118,s129847702.cpp,0.31746031746031744
p00118,s025694316.cpp,p00118,s246241553.cpp,0.30851063829787234
p00118,s025694316.cpp,p00118,s327876566.cpp,0.35789473684210527
p00118,s025694316.cpp,p00118,s531360425.cpp,0.3368421052631579
p00118,s025694316.cpp,p00118,s617630367.cpp,0.26455026455026454
p00118,s025694316.cpp,p00118,s693559256.cpp,0.35789473684210527
p00118,s025694316.cpp,p00118,s881701389.cpp,0.31958762886597936
p00118,s025694316.cpp,p00118,s916567837.cpp,0.30851063829787234
p00118,s025694316.cpp,p00118,s968566472.cpp,0.31413612565445026
p00118,s029981568.cpp,p00118,s030305382.cpp,0.5303030303030303
p00118,s029981568.cpp,p00118,s063906183.cpp,0.556390977443609
p00118,s029981568.cpp,p00118,s074715139.cpp,0.3787878787878788
p00118,s029981568.cpp,p00118,s129847702.cpp,0.48854961832061067
p00118,s029981568.cpp,p00118,s246241553.cpp,0.46153846153846156
p00118,s029981568.cpp,p00118,s327876566.cpp,0.5151515151515151
p00118,s029981568.cpp,p00118,s531360425.cpp,0.5151515151515151
p00118,s029981568.cpp,p00118,s617630367.cpp,0.4122137404580153
p00118,s029981568.cpp,p00118,s693559256.cpp,0.5151515151515151
p00118,s029981568.cpp,p00118,s881701389.cpp,0.6176470588235294
p00118,s029981568.cpp,p00118,s916567837.cpp,0.46153846153846156
p00118,s029981568.cpp,p00118,s968566472.cpp,0.45112781954887216
p00118,s030305382.cpp,p00118,s063906183.cpp,0.64
p00118,s030305382.cpp,p00118,s074715139.cpp,0.5806451612903226
p00118,s030305382.cpp,p00118,s129847702.cpp,0.6016260162601627
p00118,s030305382.cpp,p00118,s246241553.cpp,0.6721311475409836
p00118,s030305382.cpp,p00118,s327876566.cpp,0.6451612903225806
p00118,s030305382.cpp,p00118,s531360425.cpp,0.6451612903225806
p00118,s030305382.cpp,p00118,s617630367.cpp,0.6016260162601627
p00118,s030305382.cpp,p00118,s693559256.cpp,0.6451612903225806
p00118,s030305382.cpp,p00118,s881701389.cpp,0.40625
p00118,s030305382.cpp,p00118,s916567837.cpp,0.6065573770491803
p00118,s030305382.cpp,p00118,s968566472.cpp,0.688
p00118,s063906183.cpp,p00118,s074715139.cpp,0.672
p00118,s063906183.cpp,p00118,s129847702.cpp,0.7903225806451613
p00118,s063906183.cpp,p00118,s246241553.cpp,0.6829268292682927
p00118,s063906183.cpp,p00118,s327876566.cpp,0.816
p00118,s063906183.cpp,p00118,s531360425.cpp,0.832
p00118,s063906183.cpp,p00118,s617630367.cpp,0.6935483870967742
p00118,s063906183.cpp,p00118,s693559256.cpp,0.816
p00118,s063906183.cpp,p00118,s881701389.cpp,0.6356589147286822
p00118,s063906183.cpp,p00118,s916567837.cpp,0.7804878048780488
p00118,s063906183.cpp,p00118,s968566472.cpp,0.7142857142857143
p00118,s074715139.cpp,p00118,s129847702.cpp,0.7967479674796748
p00118,s074715139.cpp,p00118,s246241553.cpp,0.6229508196721312
p00118,s074715139.cpp,p00118,s327876566.cpp,0.7741935483870968
p00118,s074715139.cpp,p00118,s531360425.cpp,0.7903225806451613
p00118,s074715139.cpp,p00118,s617630367.cpp,0.943089430894309
p00118,s074715139.cpp,p00118,s693559256.cpp,0.7741935483870968
p00118,s074715139.cpp,p00118,s881701389.cpp,0.453125
p00118,s074715139.cpp,p00118,s916567837.cpp,0.8360655737704918
p00118,s074715139.cpp,p00118,s968566472.cpp,0.624
p00118,s129847702.cpp,p00118,s246241553.cpp,0.6776859504132231
p00118,s129847702.cpp,p00118,s327876566.cpp,0.8943089430894309
p00118,s129847702.cpp,p00118,s531360425.cpp,0.943089430894309
p00118,s129847702.cpp,p00118,s617630367.cpp,0.8524590163934426
p00118,s129847702.cpp,p00118,s693559256.cpp,0.8943089430894309
p00118,s129847702.cpp,p00118,s881701389.cpp,0.5826771653543307
p00118,s129847702.cpp,p00118,s916567837.cpp,0.9586776859504132
p00118,s129847702.cpp,p00118,s968566472.cpp,0.6774193548387096
p00118,s246241553.cpp,p00118,s327876566.cpp,0.6721311475409836
p00118,s246241553.cpp,p00118,s531360425.cpp,0.6557377049180327
p00118,s246241553.cpp,p00118,s617630367.cpp,0.628099173553719
p00118,s246241553.cpp,p00118,s693559256.cpp,0.6721311475409836
p00118,s246241553.cpp,p00118,s881701389.cpp,0.49206349206349204
p00118,s246241553.cpp,p00118,s916567837.cpp,0.6666666666666666
p00118,s246241553.cpp,p00118,s968566472.cpp,0.975609756097561
p00118,s327876566.cpp,p00118,s531360425.cpp,0.9516129032258065
p00118,s327876566.cpp,p00118,s617630367.cpp,0.7967479674796748
p00118,s327876566.cpp,p00118,s693559256.cpp,1.0
p00118,s327876566.cpp,p00118,s881701389.cpp,0.625
p00118,s327876566.cpp,p00118,s916567837.cpp,0.9016393442622951
p00118,s327876566.cpp,p00118,s968566472.cpp,0.672
p00118,s531360425.cpp,p00118,s617630367.cpp,0.8455284552845529
p00118,s531360425.cpp,p00118,s693559256.cpp,0.9516129032258065
p00118,s531360425.cpp,p00118,s881701389.cpp,0.625
p00118,s531360425.cpp,p00118,s916567837.cpp,0.9508196721311475
p00118,s531360425.cpp,p00118,s968566472.cpp,0.656
p00118,s617630367.cpp,p00118,s693559256.cpp,0.7967479674796748
p00118,s617630367.cpp,p00118,s881701389.cpp,0.4881889763779528
p00118,s617630367.cpp,p00118,s916567837.cpp,0.8925619834710744
p00118,s617630367.cpp,p00118,s968566472.cpp,0.6290322580645161
p00118,s693559256.cpp,p00118,s881701389.cpp,0.625
p00118,s693559256.cpp,p00118,s916567837.cpp,0.9016393442622951
p00118,s693559256.cpp,p00118,s968566472.cpp,0.672
p00118,s881701389.cpp,p00118,s916567837.cpp,0.5714285714285714
p00118,s881701389.cpp,p00118,s968566472.cpp,0.4806201550387597
p00118,s916567837.cpp,p00118,s968566472.cpp,0.6666666666666666
