problem_1,file_1,problem_2,file_2,S_token,S_AST,S_PDG,pdg_valid,S_structure,unixcoder_cosine,unixcoder_l2,unixcoder_manhattan
p00118,s006126205.cpp,p00118,s531360425.cpp,0.656,0.8276,0.7625,1,0.7181,0.902,0.4427,9.7278
p00118,s006126205.cpp,p00118,s617630367.cpp,0.5806451612903226,0.8027,0.7397,1,0.7007,0.8925,0.4637,10.2208
p00118,s006126205.cpp,p00118,s693559256.cpp,0.672,0.8276,0.8121,1,0.7274,0.8985,0.4506,9.8865
p00118,s006126205.cpp,p00118,s881701389.cpp,0.5116279069767442,0.7648,0.6435,1,0.7285,0.8932,0.4622,9.3951
p00118,s006126205.cpp,p00118,s916567837.cpp,0.6504065040650406,0.8276,0.7565,1,0.7181,0.9002,0.4467,9.8317
p00118,s006126205.cpp,p00118,s968566472.cpp,0.6349206349206349,0.8597,0.7299,1,0.8018,0.9128,0.4176,9.0338
p00118,s007996243.cpp,p00118,s010586621.cpp,0.4,0.589,0.6026,1,0.6634,0.8308,0.5817,12.6752
p00118,s007996243.cpp,p00118,s015107588.cpp,0.3555555555555555,0.6162,0.5454,1,0.5589,0.7858,0.6545,13.6573
p00118,s007996243.cpp,p00118,s023159886.cpp,0.5142857142857142,0.6643,0.5809,1,0.6479,0.8165,0.6057,12.5302
p00118,s007996243.cpp,p00118,s025016103.cpp,0.4065934065934066,0.491,0.0,0,0.5978,0.7427,0.7173,15.0701
p00118,s007996243.cpp,p00118,s025694316.cpp,0.3115577889447236,0.5029,0.4782,1,0.6478,0.6993,0.7755,14.0415
p00118,s007996243.cpp,p00118,s029981568.cpp,0.4822695035460992,0.6853,0.7769,1,0.6977,0.8305,0.5823,12.2338
p00118,s007996243.cpp,p00118,s030305382.cpp,0.3458646616541353,0.6667,0.5588,1,0.554,0.8222,0.5963,12.0343
p00118,s007996243.cpp,p00118,s063906183.cpp,0.417910447761194,0.6452,0.5896,1,0.5705,0.7364,0.7261,12.2496
p00118,s007996243.cpp,p00118,s074715139.cpp,0.3007518796992481,0.6208,0.4995,1,0.5723,0.82,0.6,12.4521
p00118,s007996243.cpp,p00118,s129847702.cpp,0.4545454545454545,0.6391,0.5903,1,0.601,0.8421,0.562,11.8003
p00118,s007996243.cpp,p00118,s246241553.cpp,0.4122137404580153,0.6372,0.5465,1,0.5872,0.8276,0.5872,12.1243
p00118,s007996243.cpp,p00118,s327876566.cpp,0.4360902255639097,0.6391,0.5723,1,0.6077,0.8389,0.5677,11.9118
p00118,s007996243.cpp,p00118,s531360425.cpp,0.4210526315789473,0.6391,0.5656,1,0.601,0.8408,0.5642,11.8196
p00118,s007996243.cpp,p00118,s617630367.cpp,0.3333333333333333,0.6208,0.5163,1,0.5874,0.8251,0.5915,12.2645
p00118,s007996243.cpp,p00118,s693559256.cpp,0.4360902255639097,0.6391,0.5723,1,0.6077,0.8389,0.5677,11.9118
p00118,s007996243.cpp,p00118,s881701389.cpp,0.5255474452554745,0.6739,0.7545,1,0.5964,0.8107,0.6153,11.897
p00118,s007996243.cpp,p00118,s916567837.cpp,0.4274809160305343,0.6391,0.5726,1,0.601,0.8405,0.5649,11.8548
p00118,s007996243.cpp,p00118,s968566472.cpp,0.4029850746268656,0.652,0.4984,1,0.6036,0.8263,0.5895,12.045
p00118,s010586621.cpp,p00118,s015107588.cpp,0.515625,0.6955,0.6999,1,0.6767,0.8276,0.5873,12.7998
p00118,s010586621.cpp,p00118,s023159886.cpp,0.4661654135338345,0.6784,0.7008,1,0.677,0.8177,0.6039,13.1393
p00118,s010586621.cpp,p00118,s025016103.cpp,0.4228571428571429,0.4308,0.0,0,0.639,0.7601,0.6927,15.1826
p00118,s010586621.cpp,p00118,s025694316.cpp,0.1875,0.3487,0.6538,1,0.6151,0.6806,0.7992,16.0816
p00118,s010586621.cpp,p00118,s029981568.cpp,0.4776119402985074,0.6784,0.6471,1,0.5891,0.8405,0.5648,12.2068
p00118,s010586621.cpp,p00118,s030305382.cpp,0.3968253968253968,0.6937,0.7356,1,0.5404,0.8463,0.5544,11.8462
p00118,s010586621.cpp,p00118,s063906183.cpp,0.4566929133858268,0.6709,0.7803,1,0.5337,0.7563,0.6981,13.5457
p00118,s010586621.cpp,p00118,s074715139.cpp,0.3968253968253968,0.6722,0.7176,1,0.599,0.847,0.5532,12.0345
p00118,s010586621.cpp,p00118,s129847702.cpp,0.464,0.6934,0.7965,1,0.5995,0.8539,0.5405,11.9441
p00118,s010586621.cpp,p00118,s246241553.cpp,0.4193548387096774,0.6942,0.7478,1,0.5904,0.8723,0.5053,11.2196
p00118,s010586621.cpp,p00118,s327876566.cpp,0.4126984126984127,0.6934,0.7838,1,0.602,0.8503,0.5472,12.1444
p00118,s010586621.cpp,p00118,s531360425.cpp,0.4285714285714285,0.6934,0.7869,1,0.5995,0.8545,0.5395,11.9115
p00118,s010586621.cpp,p00118,s617630367.cpp,0.416,0.6722,0.7342,1,0.5912,0.8541,0.5402,11.8042
p00118,s010586621.cpp,p00118,s693559256.cpp,0.4126984126984127,0.6934,0.7838,1,0.602,0.8503,0.5472,12.1444
p00118,s010586621.cpp,p00118,s881701389.cpp,0.5076923076923077,0.6734,0.6841,1,0.694,0.8049,0.6246,13.0939
p00118,s010586621.cpp,p00118,s916567837.cpp,0.4516129032258064,0.6977,0.7851,1,0.5995,0.8545,0.5395,11.9262
p00118,s010586621.cpp,p00118,s968566472.cpp,0.4094488188976378,0.6982,0.6937,1,0.5925,0.8719,0.5062,11.19
p00118,s015107588.cpp,p00118,s023159886.cpp,0.4360902255639097,0.75,0.639,1,0.7389,0.7774,0.6672,14.5808
p00118,s015107588.cpp,p00118,s025016103.cpp,0.3657142857142857,0.4617,0.0,0,0.6856,0.8024,0.6286,13.6768
p00118,s015107588.cpp,p00118,s025694316.cpp,0.3125,0.3885,0.5868,1,0.5225,0.7383,0.7235,15.2311
p00118,s015107588.cpp,p00118,s029981568.cpp,0.5074626865671642,0.7583,0.5314,1,0.6338,0.819,0.6017,13.0911
p00118,s015107588.cpp,p00118,s030305382.cpp,0.5396825396825397,0.787,0.6328,1,0.6764,0.8392,0.5672,12.5269
p00118,s015107588.cpp,p00118,s063906183.cpp,0.5984251968503937,0.7816,0.6337,1,0.6442,0.7313,0.7331,15.0956
p00118,s015107588.cpp,p00118,s074715139.cpp,0.4603174603174603,0.7623,0.6239,1,0.6869,0.7827,0.6593,14.5744
p00118,s015107588.cpp,p00118,s129847702.cpp,0.592,0.7864,0.643,1,0.6834,0.7907,0.647,14.1996
p00118,s015107588.cpp,p00118,s246241553.cpp,0.5967741935483871,0.8204,0.6848,1,0.7343,0.8617,0.5259,11.6617
p00118,s015107588.cpp,p00118,s327876566.cpp,0.5555555555555556,0.7773,0.6458,1,0.675,0.787,0.6526,14.3283
p00118,s015107588.cpp,p00118,s531360425.cpp,0.5714285714285714,0.7773,0.6383,1,0.6834,0.7925,0.6442,14.1369
p00118,s015107588.cpp,p00118,s617630367.cpp,0.496,0.7623,0.6494,1,0.6787,0.7884,0.6506,14.3606
p00118,s015107588.cpp,p00118,s693559256.cpp,0.5555555555555556,0.7773,0.6458,1,0.675,0.787,0.6526,14.3283
p00118,s015107588.cpp,p00118,s881701389.cpp,0.4769230769230769,0.7348,0.5953,1,0.7112,0.8014,0.6303,13.485
p00118,s015107588.cpp,p00118,s916567837.cpp,0.5806451612903226,0.7773,0.6333,1,0.6834,0.7903,0.6476,14.2211
p00118,s015107588.cpp,p00118,s968566472.cpp,0.5826771653543307,0.8018,0.613,1,0.7258,0.8611,0.527,11.7148
p00118,s023159886.cpp,p00118,s025016103.cpp,0.3555555555555555,0.4408,0.0,0,0.6533,0.6879,0.7901,17.0722
p00118,s023159886.cpp,p00118,s025694316.cpp,0.3147208121827411,0.3911,0.6564,1,0.5276,0.6485,0.8384,17.7551
p00118,s023159886.cpp,p00118,s029981568.cpp,0.5899280575539568,0.7934,0.6135,1,0.7054,0.8292,0.5844,12.963
p00118,s023159886.cpp,p00118,s030305382.cpp,0.4885496183206106,0.7716,0.7577,1,0.822,0.7937,0.6424,13.9939
p00118,s023159886.cpp,p00118,s063906183.cpp,0.5,0.7836,0.7299,1,0.8099,0.7995,0.6333,12.629
p00118,s023159886.cpp,p00118,s074715139.cpp,0.366412213740458,0.7467,0.6558,1,0.7593,0.8448,0.5572,12.4386
p00118,s023159886.cpp,p00118,s129847702.cpp,0.4615384615384615,0.7748,0.7419,1,0.8053,0.858,0.5328,11.8193
p00118,s023159886.cpp,p00118,s246241553.cpp,0.5116279069767442,0.7912,0.6976,1,0.8146,0.841,0.5638,12.3385
p00118,s023159886.cpp,p00118,s327876566.cpp,0.5038167938931297,0.7883,0.7587,1,0.8194,0.8557,0.5371,11.8764
p00118,s023159886.cpp,p00118,s531360425.cpp,0.4732824427480916,0.7883,0.7215,1,0.8053,0.8583,0.5323,11.7852
p00118,s023159886.cpp,p00118,s617630367.cpp,0.3846153846153846,0.7467,0.6878,1,0.7719,0.8515,0.545,12.1597
p00118,s023159886.cpp,p00118,s693559256.cpp,0.5038167938931297,0.7883,0.7587,1,0.8194,0.8557,0.5371,11.8764
p00118,s023159886.cpp,p00118,s881701389.cpp,0.5777777777777777,0.8103,0.6241,1,0.812,0.8193,0.6012,13.1498
p00118,s023159886.cpp,p00118,s916567837.cpp,0.4341085271317829,0.7748,0.7248,1,0.8053,0.8569,0.535,11.8841
p00118,s023159886.cpp,p00118,s968566472.cpp,0.5,0.8035,0.6569,1,0.8364,0.8428,0.5607,12.31
p00118,s025016103.cpp,p00118,s025694316.cpp,0.2845188284518828,0.549,0.0,0,0.5404,0.7566,0.6977,14.489
p00118,s025016103.cpp,p00118,s029981568.cpp,0.3756906077348066,0.4431,0.0,0,0.5717,0.696,0.7797,16.8562
p00118,s025016103.cpp,p00118,s030305382.cpp,0.2774566473988439,0.4466,0.0,0,0.6484,0.8167,0.6055,13.14
p00118,s025016103.cpp,p00118,s063906183.cpp,0.367816091954023,0.4134,0.0,0,0.6291,0.6559,0.8296,17.1873
p00118,s025016103.cpp,p00118,s074715139.cpp,0.3236994219653179,0.4127,0.0,0,0.616,0.7478,0.7102,15.5187
p00118,s025016103.cpp,p00118,s129847702.cpp,0.3488372093023256,0.4182,0.0,0,0.6615,0.7487,0.709,15.486
p00118,s025016103.cpp,p00118,s246241553.cpp,0.3391812865497076,0.4296,0.0,0,0.6765,0.7708,0.6771,14.8326
p00118,s025016103.cpp,p00118,s327876566.cpp,0.3121387283236994,0.4182,0.0,0,0.6481,0.7445,0.7149,15.6266
p00118,s025016103.cpp,p00118,s531360425.cpp,0.3236994219653179,0.4182,0.0,0,0.6615,0.75,0.7071,15.4272
p00118,s025016103.cpp,p00118,s617630367.cpp,0.3023255813953488,0.4127,0.0,0,0.6299,0.7519,0.7044,15.3658
p00118,s025016103.cpp,p00118,s693559256.cpp,0.3121387283236994,0.4182,0.0,0,0.6481,0.7445,0.7149,15.6266
p00118,s025016103.cpp,p00118,s881701389.cpp,0.4180790960451977,0.4274,0.0,0,0.679,0.675,0.8062,17.4855
p00118,s025016103.cpp,p00118,s916567837.cpp,0.327485380116959,0.4182,0.0,0,0.6615,0.751,0.7058,15.401
p00118,s025016103.cpp,p00118,s968566472.cpp,0.3333333333333333,0.4305,0.0,0,0.6857,0.7719,0.6754,14.7436
p00118,s025694316.cpp,p00118,s029981568.cpp,0.2727272727272727,0.3911,0.5334,1,0.4488,0.6744,0.8069,17.0716
p00118,s025694316.cpp,p00118,s030305382.cpp,0.3052631578947368,0.3801,0.6971,1,0.4312,0.754,0.7014,14.9266
p00118,s025694316.cpp,p00118,s063906183.cpp,0.3350785340314136,0.3552,0.6829,1,0.4406,0.7512,0.7055,15.7044
p00118,s025694316.cpp,p00118,s074715139.cpp,0.2842105263157894,0.3509,0.6178,1,0.5008,0.6902,0.7871,16.7079
p00118,s025694316.cpp,p00118,s129847702.cpp,0.3174603174603174,0.3576,0.6579,1,0.4884,0.667,0.8161,16.9646
p00118,s025694316.cpp,p00118,s246241553.cpp,0.3085106382978723,0.3599,0.6227,1,0.4681,0.6811,0.7986,16.6665
p00118,s025694316.cpp,p00118,s327876566.cpp,0.3578947368421052,0.3598,0.6917,1,0.4976,0.6636,0.8203,17.0875
p00118,s025694316.cpp,p00118,s531360425.cpp,0.3368421052631579,0.3598,0.6641,1,0.4884,0.6701,0.8123,16.8936
p00118,s025694316.cpp,p00118,s617630367.cpp,0.2645502645502645,0.3509,0.6443,1,0.4976,0.6943,0.7819,16.5883
p00118,s025694316.cpp,p00118,s693559256.cpp,0.3578947368421052,0.3598,0.6917,1,0.4976,0.6636,0.8203,17.0875
p00118,s025694316.cpp,p00118,s881701389.cpp,0.3195876288659793,0.3737,0.6102,1,0.5321,0.7119,0.759,16.4749
p00118,s025694316.cpp,p00118,s916567837.cpp,0.3085106382978723,0.3554,0.6466,1,0.4884,0.6696,0.8128,16.9961
p00118,s025694316.cpp,p00118,s968566472.cpp,0.3141361256544502,0.3696,0.6308,1,0.4801,0.6937,0.7827,16.375
p00118,s029981568.cpp,p00118,s030305382.cpp,0.5303030303030303,0.8448,0.6303,1,0.7085,0.823,0.595,12.9262
p00118,s029981568.cpp,p00118,s063906183.cpp,0.556390977443609,0.7745,0.6222,1,0.6698,0.7908,0.6469,12.9387
p00118,s029981568.cpp,p00118,s074715139.cpp,0.3787878787878788,0.7422,0.5471,1,0.6007,0.8298,0.5835,13.0513
p00118,s029981568.cpp,p00118,s129847702.cpp,0.4885496183206106,0.7748,0.6384,1,0.6078,0.8437,0.559,12.5557
p00118,s029981568.cpp,p00118,s246241553.cpp,0.4615384615384615,0.7912,0.5888,1,0.6541,0.8548,0.5388,11.9433
p00118,s029981568.cpp,p00118,s327876566.cpp,0.5151515151515151,0.7883,0.6246,1,0.6054,0.8428,0.5608,12.5552
p00118,s029981568.cpp,p00118,s531360425.cpp,0.5151515151515151,0.7883,0.6084,1,0.6078,0.8464,0.5543,12.4094
p00118,s029981568.cpp,p00118,s617630367.cpp,0.4122137404580153,0.7422,0.5514,1,0.6064,0.8339,0.5763,12.8957
p00118,s029981568.cpp,p00118,s693559256.cpp,0.5151515151515151,0.7883,0.6246,1,0.6054,0.8428,0.5608,12.5552
p00118,s029981568.cpp,p00118,s881701389.cpp,0.6176470588235294,0.8233,0.7971,1,0.6407,0.8885,0.4722,10.1888
p00118,s029981568.cpp,p00118,s916567837.cpp,0.4615384615384615,0.7748,0.6095,1,0.6078,0.8429,0.5606,12.5654
p00118,s029981568.cpp,p00118,s968566472.cpp,0.4511278195488721,0.8035,0.5474,1,0.669,0.8552,0.5381,11.921
p00118,s030305382.cpp,p00118,s063906183.cpp,0.64,0.8353,0.7904,1,0.7792,0.8248,0.592,12.2718
p00118,s030305382.cpp,p00118,s074715139.cpp,0.5806451612903226,0.8,0.718,1,0.7165,0.852,0.544,11.944
p00118,s030305382.cpp,p00118,s129847702.cpp,0.6016260162601627,0.8349,0.8072,1,0.7664,0.8598,0.5296,11.45
p00118,s030305382.cpp,p00118,s246241553.cpp,0.6721311475409836,0.8552,0.8054,1,0.8055,0.8904,0.4682,10.46
p00118,s030305382.cpp,p00118,s327876566.cpp,0.6451612903225806,0.8491,0.8663,1,0.78,0.8572,0.5345,11.5658
p00118,s030305382.cpp,p00118,s531360425.cpp,0.6451612903225806,0.8491,0.8064,1,0.7664,0.8619,0.5255,11.4029
p00118,s030305382.cpp,p00118,s617630367.cpp,0.6016260162601627,0.8,0.7428,1,0.725,0.857,0.5348,11.7161
p00118,s030305382.cpp,p00118,s693559256.cpp,0.6451612903225806,0.8491,0.8663,1,0.78,0.8572,0.5345,11.5658
p00118,s030305382.cpp,p00118,s881701389.cpp,0.40625,0.7793,0.6731,1,0.7082,0.8282,0.5861,13.0725
p00118,s030305382.cpp,p00118,s916567837.cpp,0.6065573770491803,0.8349,0.7971,1,0.7664,0.8608,0.5276,11.4524
p00118,s030305382.cpp,p00118,s968566472.cpp,0.688,0.8721,0.7575,1,0.8315,0.8947,0.4589,10.3388
p00118,s063906183.cpp,p00118,s074715139.cpp,0.672,0.8543,0.708,1,0.8523,0.8403,0.5652,11.5866
p00118,s063906183.cpp,p00118,s129847702.cpp,0.7903225806451613,0.8972,0.8137,1,0.909,0.8362,0.5723,11.2792
p00118,s063906183.cpp,p00118,s246241553.cpp,0.6829268292682927,0.8488,0.7507,1,0.8471,0.8261,0.5897,11.6875
p00118,s063906183.cpp,p00118,s327876566.cpp,0.816,0.9123,0.8293,1,0.9084,0.836,0.5728,11.3537
p00118,s063906183.cpp,p00118,s531360425.cpp,0.832,0.9123,0.8219,1,0.909,0.8369,0.5712,11.3045
p00118,s063906183.cpp,p00118,s617630367.cpp,0.6935483870967742,0.8543,0.7403,1,0.8626,0.846,0.555,11.2531
p00118,s063906183.cpp,p00118,s693559256.cpp,0.816,0.9123,0.8293,1,0.9084,0.836,0.5728,11.3537
p00118,s063906183.cpp,p00118,s881701389.cpp,0.6356589147286822,0.8305,0.6731,1,0.849,0.8733,0.5034,10.7487
p00118,s063906183.cpp,p00118,s916567837.cpp,0.7804878048780488,0.8972,0.817,1,0.909,0.8361,0.5726,11.3467
p00118,s063906183.cpp,p00118,s968566472.cpp,0.7142857142857143,0.8668,0.7216,1,0.8731,0.8328,0.5783,11.5239
p00118,s074715139.cpp,p00118,s129847702.cpp,0.7967479674796748,0.8927,0.7293,1,0.8942,0.987,0.1613,3.4691
p00118,s074715139.cpp,p00118,s246241553.cpp,0.6229508196721312,0.8219,0.728,1,0.8021,0.8958,0.4564,10.1248
p00118,s074715139.cpp,p00118,s327876566.cpp,0.7741935483870968,0.8927,0.7592,1,0.8918,0.9859,0.1682,3.6738
p00118,s074715139.cpp,p00118,s531360425.cpp,0.7903225806451613,0.8927,0.7548,1,0.8942,0.9875,0.158,3.4356
p00118,s074715139.cpp,p00118,s617630367.cpp,0.943089430894309,1.0,0.8618,1,0.9702,0.9984,0.0571,1.2437
p00118,s074715139.cpp,p00118,s693559256.cpp,0.7741935483870968,0.8927,0.7592,1,0.8918,0.9859,0.1682,3.6738
p00118,s074715139.cpp,p00118,s881701389.cpp,0.453125,0.7767,0.5821,1,0.8331,0.8731,0.5037,11.0703
p00118,s074715139.cpp,p00118,s916567837.cpp,0.8360655737704918,0.9024,0.7473,1,0.8942,0.9905,0.1378,2.9888
p00118,s074715139.cpp,p00118,s968566472.cpp,0.624,0.8349,0.9048,1,0.8207,0.8988,0.45,9.9868
p00118,s129847702.cpp,p00118,s246241553.cpp,0.6776859504132231,0.8771,0.782,1,0.8445,0.9031,0.4401,9.754
p00118,s129847702.cpp,p00118,s327876566.cpp,0.8943089430894309,0.9554,0.8903,1,0.9843,0.9982,0.0592,1.3145
p00118,s129847702.cpp,p00118,s531360425.cpp,0.943089430894309,0.9554,0.9191,1,1.0,0.9988,0.0481,1.0487
p00118,s129847702.cpp,p00118,s617630367.cpp,0.8524590163934426,0.8927,0.7678,1,0.9195,0.9881,0.154,3.3344
p00118,s129847702.cpp,p00118,s693559256.cpp,0.8943089430894309,0.9554,0.8903,1,0.9843,0.9982,0.0592,1.3145
p00118,s129847702.cpp,p00118,s881701389.cpp,0.5826771653543307,0.816,0.6589,1,0.8507,0.8791,0.4917,10.5345
p00118,s129847702.cpp,p00118,s916567837.cpp,0.9586776859504132,0.9554,0.9371,1,1.0,0.9982,0.0601,1.3185
p00118,s129847702.cpp,p00118,s968566472.cpp,0.6774193548387096,0.89,0.7102,1,0.8654,0.9037,0.4388,9.6941
p00118,s246241553.cpp,p00118,s327876566.cpp,0.6721311475409836,0.8627,0.7979,1,0.8592,0.8994,0.4486,9.9451
p00118,s246241553.cpp,p00118,s531360425.cpp,0.6557377049180327,0.8627,0.7766,1,0.8445,0.9032,0.4401,9.7485
p00118,s246241553.cpp,p00118,s617630367.cpp,0.628099173553719,0.8219,0.7524,1,0.7866,0.9013,0.4443,9.806
p00118,s246241553.cpp,p00118,s693559256.cpp,0.6721311475409836,0.8627,0.7979,1,0.8592,0.8994,0.4486,9.9451
p00118,s246241553.cpp,p00118,s881701389.cpp,0.492063492063492,0.7816,0.6191,1,0.7845,0.8418,0.5625,12.0977
p00118,s246241553.cpp,p00118,s916567837.cpp,0.6666666666666666,0.8627,0.7722,1,0.8445,0.902,0.4428,9.8359
p00118,s246241553.cpp,p00118,s968566472.cpp,0.975609756097561,0.9464,0.7717,1,0.9866,0.9987,0.0517,1.1184
p00118,s327876566.cpp,p00118,s531360425.cpp,0.9516129032258064,1.0,0.9589,1,0.9843,0.9993,0.0377,0.8279
p00118,s327876566.cpp,p00118,s617630367.cpp,0.7967479674796748,0.8927,0.7998,1,0.9047,0.9866,0.1636,3.622
p00118,s327876566.cpp,p00118,s693559256.cpp,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0
p00118,s327876566.cpp,p00118,s881701389.cpp,0.625,0.8302,0.6815,1,0.846,0.8775,0.4949,10.6351
p00118,s327876566.cpp,p00118,s916567837.cpp,0.9016393442622952,0.9554,0.9011,1,0.9843,0.9979,0.0655,1.4492
p00118,s327876566.cpp,p00118,s968566472.cpp,0.672,0.8756,0.7372,1,0.8801,0.9002,0.4467,9.886
p00118,s531360425.cpp,p00118,s617630367.cpp,0.8455284552845529,0.8927,0.7953,1,0.9195,0.9883,0.1527,3.3837
p00118,s531360425.cpp,p00118,s693559256.cpp,0.9516129032258064,1.0,0.9589,1,0.9843,0.9993,0.0377,0.8279
p00118,s531360425.cpp,p00118,s881701389.cpp,0.625,0.8302,0.6675,1,0.8507,0.879,0.4919,10.554
p00118,s531360425.cpp,p00118,s916567837.cpp,0.9508196721311476,0.9554,0.9358,1,1.0,0.9986,0.0537,1.1828
p00118,s531360425.cpp,p00118,s968566472.cpp,0.656,0.8756,0.713,1,0.8654,0.9039,0.4383,9.6901
p00118,s617630367.cpp,p00118,s693559256.cpp,0.7967479674796748,0.8927,0.7998,1,0.9047,0.9866,0.1636,3.622
p00118,s617630367.cpp,p00118,s881701389.cpp,0.4881889763779528,0.7767,0.6101,1,0.8416,0.8766,0.4969,10.8798
p00118,s617630367.cpp,p00118,s916567837.cpp,0.8925619834710744,0.9024,0.7826,1,0.9195,0.991,0.1344,2.9309
p00118,s617630367.cpp,p00118,s968566472.cpp,0.6290322580645161,0.8349,0.7863,1,0.8171,0.9042,0.4378,9.6706
p00118,s693559256.cpp,p00118,s881701389.cpp,0.625,0.8302,0.6815,1,0.846,0.8775,0.4949,10.6351
p00118,s693559256.cpp,p00118,s916567837.cpp,0.9016393442622952,0.9554,0.9011,1,0.9843,0.9979,0.0655,1.4492
p00118,s693559256.cpp,p00118,s968566472.cpp,0.672,0.8756,0.7372,1,0.8801,0.9002,0.4467,9.886
p00118,s881701389.cpp,p00118,s916567837.cpp,0.5714285714285714,0.816,0.66,1,0.8507,0.8772,0.4955,10.6778
p00118,s881701389.cpp,p00118,s968566472.cpp,0.4806201550387597,0.7945,0.5752,1,0.8088,0.8449,0.557,12.0529
p00118,s916567837.cpp,p00118,s968566472.cpp,0.6666666666666666,0.8756,0.7059,1,0.8654,0.9026,0.4414,9.8055
