problem_1,file_1,problem_2,file_2,GroundTruth,S_token,S_AST,S_PDG,pdg_valid,S_structure,unixcoder_cosine,unixcoder_l2,unixcoder_manhattan
p1,s1.cpp,p1,s43.cpp,1,0.616822429906542,0.6725,0.7023,1,0.7989,0.8407,0.5644,12.4348
p1,s1.cpp,p1,s44.cpp,1,0.7672955974842768,0.8774,0.62,1,0.928,0.8286,0.5854,12.739
p1,s1.cpp,p1,s45.cpp,1,0.8571428571428571,0.8815,0.7638,1,0.8967,0.9465,0.327,7.0992
p1,s1.cpp,p1,s46.cpp,1,0.680628272251309,0.7685,0.7219,1,0.8617,0.8467,0.5537,12.1483
p1,s1.cpp,p1,s47.cpp,1,0.7058823529411765,0.7942,0.6349,1,0.879,0.8369,0.5711,12.3109
p1,s1.cpp,p1,s48.cpp,1,0.7861271676300579,0.8478,0.7514,1,0.898,0.9434,0.3364,7.3198
p1,s1.cpp,p1,s49.cpp,1,0.6082949308755761,0.6444,0.701,1,0.7927,0.8517,0.5446,11.01
p3,s1.cpp,p3,s10.cpp,1,1.0,0.9926,1.0,1,1.0,0.989,0.1482,3.1748
p3,s1.cpp,p3,s11.cpp,1,1.0,1.0,1.0,1,0.948,0.9346,0.3617,5.689
p3,s1.cpp,p3,s12.cpp,1,1.0,0.9703,1.0,1,1.0,0.9709,0.2414,5.066
p3,s1.cpp,p3,s13.cpp,1,1.0,0.9826,1.0,1,0.948,0.9783,0.2082,4.3283
p3,s1.cpp,p3,s14.cpp,1,1.0,1.0,1.0,1,0.948,0.8301,0.583,9.8664
p3,s1.cpp,p3,s15.cpp,1,1.0,0.9926,1.0,1,1.0,0.9928,0.1203,2.5551
p3,s1.cpp,p3,s16.cpp,1,1.0,1.0,1.0,1,0.948,0.9601,0.2823,5.8672
p3,s1.cpp,p3,s17.cpp,1,1.0,0.9703,1.0,1,1.0,0.9986,0.0537,1.1812
p3,s1.cpp,p3,s18.cpp,1,1.0,0.9926,1.0,1,1.0,0.9951,0.0985,2.1017
p3,s1.cpp,p3,s19.cpp,1,1.0,0.9926,1.0,1,1.0,0.9914,0.1313,2.8836
p3,s1.cpp,p3,s20.cpp,1,1.0,1.0,1.0,1,1.0,0.8039,0.6262,13.6829
p3,s1.cpp,p3,s21.cpp,1,1.0,1.0,1.0,1,0.948,0.7644,0.6864,13.7702
p3,s1.cpp,p3,s22.cpp,1,0.7884615384615384,0.9161,0.7954,1,0.8688,0.9868,0.1627,3.4531
p3,s1.cpp,p3,s23.cpp,1,0.9074074074074074,0.9333,1.0,1,0.9346,0.7797,0.6638,14.2667
p3,s1.cpp,p3,s24.cpp,1,0.7387387387387387,0.8381,0.6817,1,0.8425,0.8518,0.5444,12.0153
p3,s1.cpp,p3,s25.cpp,1,0.6605504587155964,0.8157,0.52,1,0.8184,0.8181,0.6032,13.2002
p3,s1.cpp,p3,s26.cpp,1,0.8712871287128713,0.963,0.7954,1,0.9363,0.7964,0.6381,13.9196
p3,s1.cpp,p3,s27.cpp,1,0.5833333333333334,0.7051,0.7121,1,0.7975,0.8494,0.5488,12.2421
p3,s1.cpp,p3,s28.cpp,1,1.0,0.9926,1.0,1,1.0,0.8271,0.588,12.8404
p3,s1.cpp,p3,s29.cpp,1,0.6857142857142857,0.8043,0.0,0,0.7405,0.9378,0.3527,7.6521
p3,s1.cpp,p3,s30.cpp,1,0.7692307692307693,0.9294,0.7954,1,0.9,0.987,0.1615,3.4448
p3,s1.cpp,p3,s31.cpp,1,0.9074074074074074,0.9311,1.0,1,0.9346,0.9864,0.1648,3.6006
p3,s1.cpp,p3,s32.cpp,1,0.8288288288288288,0.899,0.7811,1,0.8869,0.9926,0.1216,2.6572
p3,s1.cpp,p3,s33.cpp,1,0.8155339805825242,0.9415,0.7856,1,0.8737,0.7971,0.637,14.0654
p3,s1.cpp,p3,s34.cpp,1,0.9615384615384616,0.9469,1.0,1,0.9454,0.8444,0.5578,11.9813
p3,s1.cpp,p3,s35.cpp,1,0.7962962962962963,0.907,0.7952,1,0.8446,0.8586,0.5318,11.6264
p3,s1.cpp,p3,s36.cpp,1,0.8990825688073395,0.9417,1.0,1,0.9209,0.8946,0.4592,10.0289
p3,s1.cpp,p3,s37.cpp,1,0.8623853211009175,0.8926,1.0,1,0.8749,0.8346,0.5752,12.6344
p3,s1.cpp,p3,s38.cpp,1,0.7407407407407407,0.8967,0.929,1,0.844,0.9129,0.4173,9.1166
p3,s1.cpp,p3,s39.cpp,1,0.8712871287128713,0.963,0.7954,1,0.9363,0.8234,0.5943,13.0859
p3,s1.cpp,p3,s40.cpp,1,0.7387387387387387,0.8381,0.6817,1,0.8425,0.8714,0.5071,11.2745
p3,s1.cpp,p3,s41.cpp,1,0.5833333333333334,0.7051,0.7121,1,0.7975,0.7761,0.6692,15.0579
p3,s1.cpp,p3,s42.cpp,1,0.6605504587155964,0.8157,0.52,1,0.8184,0.8136,0.6105,13.2886
p3,s1.cpp,p3,s43.cpp,1,0.5038167938931297,0.6936,0.7211,1,0.7318,0.8154,0.6077,12.8418
p3,s1.cpp,p3,s44.cpp,1,0.6324786324786325,0.808,0.6882,1,0.732,0.8489,0.5498,11.9651
p3,s1.cpp,p3,s45.cpp,1,0.6037735849056604,0.8029,0.5217,1,0.8054,0.8165,0.6059,12.9775
p3,s1.cpp,p3,s46.cpp,1,0.5892857142857143,0.7703,0.7112,1,0.7418,0.7938,0.6422,14.1254
p3,s1.cpp,p3,s47.cpp,1,0.5423728813559322,0.6774,0.6701,1,0.7473,0.8043,0.6256,12.8954
p3,s1.cpp,p3,s48.cpp,1,0.6666666666666666,0.8247,0.52,1,0.7938,0.8108,0.6152,13.3799
p3,s1.cpp,p3,s49.cpp,1,0.5656565656565656,0.7184,0.62,1,0.7929,0.7529,0.7031,15.6176
p5,s1.cpp,p5,s10.cpp,1,1.0,0.9816,1.0,1,1.0,1.0,0.0,0.0
p5,s1.cpp,p5,s11.cpp,1,1.0,0.9814,1.0,1,1.0,0.9955,0.0952,2.1053
p5,s1.cpp,p5,s12.cpp,1,0.9850746268656716,0.972,1.0,1,0.9939,0.9952,0.0976,2.0775
p5,s1.cpp,p5,s13.cpp,1,1.0,0.9829,1.0,1,1.0,0.9984,0.0562,1.2086
p5,s1.cpp,p5,s14.cpp,1,1.0,0.9647,1.0,1,1.0,0.9945,0.1046,2.205
p5,s1.cpp,p5,s15.cpp,1,1.0,0.9846,1.0,1,1.0,1.0,0.0,0.0
p5,s1.cpp,p5,s16.cpp,1,1.0,0.9831,1.0,1,1.0,0.9907,0.1362,2.8768
p5,s1.cpp,p5,s17.cpp,1,0.9850746268656716,0.9625,1.0,1,0.8665,0.8235,0.5941,8.1346
p5,s1.cpp,p5,s18.cpp,1,1.0,0.9829,1.0,1,1.0,1.0,0.0,0.0
p5,s1.cpp,p5,s19.cpp,1,1.0,0.9831,1.0,1,1.0,0.9981,0.0621,1.3187
p5,s1.cpp,p5,s20.cpp,1,1.0,0.9814,1.0,1,1.0,0.9152,0.4118,8.9834
p5,s1.cpp,p5,s21.cpp,1,0.9850746268656716,0.9691,1.0,1,0.9939,0.9426,0.3389,7.4218
p5,s1.cpp,p5,s22.cpp,1,0.9850746268656716,0.972,1.0,1,0.9939,0.8872,0.475,10.68
p5,s1.cpp,p5,s23.cpp,1,0.9850746268656716,0.972,1.0,1,0.9939,0.9163,0.4092,8.9446
p5,s1.cpp,p5,s24.cpp,1,0.9850746268656716,0.9625,1.0,1,0.9795,0.9225,0.3936,8.6251
p5,s1.cpp,p5,s25.cpp,1,0.9850746268656716,0.9706,1.0,1,0.9939,0.8847,0.4803,10.5136
p5,s1.cpp,p5,s26.cpp,1,0.9850746268656716,0.9625,1.0,1,0.9795,0.9147,0.413,8.9238
p5,s1.cpp,p5,s27.cpp,1,0.9850746268656716,0.9706,1.0,1,0.9939,0.8927,0.4632,9.9792
p5,s1.cpp,p5,s28.cpp,1,0.9850746268656716,0.972,1.0,1,0.9939,0.9158,0.4103,9.0532
p5,s1.cpp,p5,s29.cpp,1,0.9850746268656716,0.9721,1.0,1,0.9939,0.8858,0.4778,10.1225
p5,s1.cpp,p5,s30.cpp,1,0.8108108108108109,0.7762,0.6725,1,0.7762,0.9378,0.3528,7.64
p5,s1.cpp,p5,s31.cpp,1,0.8702290076335878,0.9632,1.0,1,0.9705,0.9859,0.1678,3.6877
p5,s1.cpp,p5,s32.cpp,1,0.8108108108108109,0.7749,0.6725,1,0.7762,0.8721,0.5058,11.0069
p5,s1.cpp,p5,s33.cpp,1,0.896551724137931,0.8863,1.0,1,0.9082,0.9523,0.309,6.8536
p5,s1.cpp,p5,s34.cpp,1,0.900763358778626,0.8961,1.0,1,0.9098,0.9879,0.1557,3.4193
p5,s1.cpp,p5,s35.cpp,1,0.78125,0.8851,1.0,1,0.9083,0.9173,0.4066,8.81
p5,s1.cpp,p5,s36.cpp,1,0.8382352941176471,0.8588,1.0,1,0.8836,0.992,0.1261,2.6832
p5,s1.cpp,p5,s37.cpp,1,0.6575342465753424,0.7325,0.6725,1,0.6995,0.8001,0.6323,13.7688
p5,s1.cpp,p5,s38.cpp,1,0.8169014084507042,0.9104,1.0,1,0.9063,0.9027,0.4412,9.6719
p5,s1.cpp,p5,s39.cpp,1,0.6712328767123288,0.7287,0.6767,1,0.7326,0.848,0.5513,11.9623
p5,s1.cpp,p5,s40.cpp,1,0.5324675324675324,0.7168,0.7302,1,0.7531,0.8946,0.4592,10.1703
p5,s1.cpp,p5,s41.cpp,1,0.4523809523809524,0.6745,0.698,1,0.755,0.8859,0.4778,10.5275
p5,s1.cpp,p5,s42.cpp,1,0.6293706293706294,0.7575,0.6932,1,0.7118,0.8932,0.4621,10.198
p5,s1.cpp,p5,s43.cpp,1,0.6122448979591837,0.7294,0.6932,1,0.6728,0.8644,0.5208,11.2628
p5,s1.cpp,p5,s44.cpp,1,0.5526315789473685,0.717,0.624,1,0.7464,0.8503,0.5471,12.0741
p5,s1.cpp,p5,s45.cpp,1,0.6,0.6587,0.7534,1,0.6633,0.8537,0.5409,11.7202
p5,s1.cpp,p5,s46.cpp,1,0.5176470588235295,0.6935,0.5948,1,0.6347,0.8296,0.5839,12.8741
p5,s1.cpp,p5,s47.cpp,1,0.4678362573099415,0.6591,0.7016,1,0.7533,0.8505,0.5467,12.1203
p5,s1.cpp,p5,s48.cpp,1,0.5222929936305732,0.7228,0.7302,1,0.7951,0.8458,0.5553,12.117
p5,s1.cpp,p5,s49.cpp,1,0.5405405405405406,0.7403,0.6912,1,0.6895,0.8514,0.5451,11.9495
p10,s1.cpp,p10,s10.cpp,1,1.0,1.0,1.0,1,1.0,0.998,0.0631,1.3664
p10,s1.cpp,p10,s11.cpp,1,1.0,1.0,1.0,1,1.0,0.9296,0.3753,4.7635
p10,s1.cpp,p10,s12.cpp,1,1.0,1.0,1.0,1,1.0,0.9988,0.0499,1.0213
p10,s1.cpp,p10,s13.cpp,1,1.0,0.994,1.0,1,1.0,0.9952,0.0977,2.0111
p10,s1.cpp,p10,s14.cpp,1,1.0,1.0,1.0,1,0.9167,0.8827,0.4844,5.4687
p10,s1.cpp,p10,s15.cpp,1,1.0,1.0,1.0,1,1.0,0.9939,0.1106,2.4381
p10,s1.cpp,p10,s16.cpp,1,1.0,1.0,1.0,1,1.0,0.9969,0.0785,1.735
p10,s1.cpp,p10,s17.cpp,1,1.0,1.0,1.0,1,1.0,0.9931,0.1178,2.5751
p10,s1.cpp,p10,s18.cpp,1,1.0,1.0,1.0,1,1.0,0.9942,0.1079,2.4051
p10,s1.cpp,p10,s19.cpp,1,1.0,0.9947,1.0,1,1.0,0.9974,0.0721,1.5569
p10,s1.cpp,p10,s20.cpp,1,0.9859154929577464,0.9468,0.9445,1,0.9574,0.9066,0.4323,9.45
p10,s1.cpp,p10,s21.cpp,1,0.9383886255924172,0.936,0.9368,1,0.8437,0.8096,0.6171,10.9824
p10,s1.cpp,p10,s22.cpp,1,0.9622641509433962,0.9429,0.9572,1,0.9816,0.9328,0.3666,8.0042
p10,s1.cpp,p10,s23.cpp,1,0.986046511627907,0.9542,0.9715,1,0.9894,0.9391,0.349,7.4114
p10,s1.cpp,p10,s24.cpp,1,0.9859154929577464,0.9601,0.9572,1,0.9898,0.9444,0.3334,7.3854
p10,s1.cpp,p10,s25.cpp,1,0.9622641509433962,0.9436,0.9572,1,0.9816,0.931,0.3715,8.0804
p10,s1.cpp,p10,s26.cpp,1,0.976525821596244,0.9509,0.9572,1,0.9077,0.8238,0.5937,9.0252
p10,s1.cpp,p10,s27.cpp,1,0.97196261682243,0.9454,0.9715,1,0.9841,0.9037,0.4389,9.652
p10,s1.cpp,p10,s28.cpp,1,0.9622641509433962,0.9387,0.9562,1,0.9823,0.9421,0.3404,7.5447
p10,s1.cpp,p10,s29.cpp,1,0.9953488372093025,0.968,0.9715,1,0.9872,0.9136,0.4156,9.2163
p10,s1.cpp,p10,s30.cpp,1,0.7889908256880734,0.895,0.947,1,0.9154,0.9804,0.1979,4.2329
p10,s1.cpp,p10,s31.cpp,1,0.7889908256880734,0.895,0.947,1,0.9154,0.9403,0.3456,7.6474
p10,s1.cpp,p10,s32.cpp,1,0.8959276018099548,0.8853,0.9435,1,0.905,0.975,0.2237,4.8428
p10,s1.cpp,p10,s33.cpp,1,0.7333333333333333,0.8405,0.9516,1,0.8866,0.9728,0.2332,4.97
p10,s1.cpp,p10,s34.cpp,1,0.9014084507042254,0.9129,0.9292,1,0.9617,0.9793,0.2034,4.3151
p10,s1.cpp,p10,s35.cpp,1,0.7777777777777778,0.8118,0.8804,1,0.8821,0.969,0.2492,5.2744
p10,s1.cpp,p10,s36.cpp,1,0.7466666666666667,0.8526,0.9232,1,0.8235,0.9619,0.2759,5.9999
p10,s1.cpp,p10,s37.cpp,1,0.8036529680365296,0.8984,0.946,1,0.8757,0.7939,0.642,10.136
p10,s1.cpp,p10,s38.cpp,1,0.8127853881278538,0.8829,0.9435,1,0.9524,0.9759,0.2195,4.8074
p10,s1.cpp,p10,s39.cpp,1,0.7705627705627706,0.8661,0.947,1,0.9134,0.9407,0.3445,7.5126
p10,s1.cpp,p10,s40.cpp,1,0.4340425531914894,0.6492,0.8973,1,0.6217,0.9327,0.3669,8.1704
p10,s1.cpp,p10,s41.cpp,1,0.65,0.7722,0.8829,1,0.8226,0.9012,0.4444,9.4136
p10,s1.cpp,p10,s42.cpp,1,0.4137931034482758,0.6017,0.9126,1,0.5565,0.9346,0.3618,7.9418
p10,s1.cpp,p10,s43.cpp,1,0.4292237442922374,0.5963,0.8529,1,0.6368,0.9007,0.4457,9.6974
p10,s1.cpp,p10,s44.cpp,1,0.4292237442922374,0.5963,0.8664,1,0.6368,0.9065,0.4324,9.0585
p10,s1.cpp,p10,s45.cpp,1,0.4466019417475728,0.6189,0.9048,1,0.5988,0.9279,0.3798,8.3164
p10,s1.cpp,p10,s46.cpp,1,0.4298245614035088,0.6537,0.8209,1,0.6392,0.9236,0.391,8.5914
p10,s1.cpp,p10,s47.cpp,1,0.5555555555555556,0.6506,0.8948,1,0.7454,0.9263,0.3839,8.4158
p10,s1.cpp,p10,s48.cpp,1,0.3669724770642202,0.6173,0.9021,1,0.592,0.9336,0.3645,8.0004
p10,s1.cpp,p10,s49.cpp,1,0.4358974358974359,0.6165,0.8351,1,0.6213,0.9115,0.4206,9.1552
p20,s1.cpp,p20,s10.cpp,1,1.0,0.9949,1.0,1,1.0,0.9982,0.0602,1.2248
p20,s1.cpp,p20,s11.cpp,1,1.0,1.0,1.0,1,0.9205,0.9677,0.2541,4.735
p20,s1.cpp,p20,s12.cpp,1,1.0,0.9694,1.0,1,1.0,0.9955,0.0944,1.9306
p20,s1.cpp,p20,s13.cpp,1,1.0,0.9949,1.0,1,1.0,0.9982,0.0602,1.2248
p20,s1.cpp,p20,s14.cpp,1,1.0,1.0,1.0,1,0.9205,0.9458,0.3293,4.5541
p20,s1.cpp,p20,s15.cpp,1,1.0,0.9677,1.0,1,1.0,0.9966,0.0826,1.6856
p20,s1.cpp,p20,s16.cpp,1,1.0,1.0,1.0,1,0.9205,0.9862,0.166,3.2786
p20,s1.cpp,p20,s17.cpp,1,1.0,0.9949,1.0,1,1.0,0.9966,0.0826,1.6856
p20,s1.cpp,p20,s18.cpp,1,1.0,0.9949,1.0,1,1.0,0.9982,0.0602,1.2248
p20,s1.cpp,p20,s19.cpp,1,1.0,1.0,1.0,1,1.0,0.9814,0.1926,3.8517
p20,s1.cpp,p20,s20.cpp,1,1.0,1.0,1.0,1,1.0,0.9319,0.3692,8.1384
p20,s1.cpp,p20,s21.cpp,1,1.0,0.9949,1.0,1,1.0,0.9669,0.2572,5.6498
p20,s1.cpp,p20,s22.cpp,1,1.0,1.0,1.0,1,1.0,0.9497,0.317,7.0079
p20,s1.cpp,p20,s23.cpp,1,1.0,1.0,1.0,1,0.9205,0.9217,0.3959,8.3805
p20,s1.cpp,p20,s24.cpp,1,1.0,0.9949,1.0,1,1.0,0.9444,0.3334,7.2777
p20,s1.cpp,p20,s25.cpp,1,1.0,0.9661,1.0,1,1.0,0.9428,0.3383,7.4341
p20,s1.cpp,p20,s26.cpp,1,1.0,1.0,1.0,1,0.9205,0.9147,0.4129,9.0312
p20,s1.cpp,p20,s27.cpp,1,1.0,0.9949,1.0,1,1.0,0.9485,0.3211,6.8008
p20,s1.cpp,p20,s28.cpp,1,1.0,1.0,1.0,1,1.0,0.9469,0.3258,6.8807
p20,s1.cpp,p20,s29.cpp,1,1.0,0.9949,1.0,1,1.0,0.9206,0.3984,8.6749
p20,s1.cpp,p20,s30.cpp,1,0.7857142857142857,0.8906,0.8303,1,0.9355,0.9857,0.1688,3.6887
p20,s1.cpp,p20,s31.cpp,1,0.9253731343283582,0.9264,1.0,1,0.9564,0.9563,0.2957,6.3197
p20,s1.cpp,p20,s32.cpp,1,1.0,0.9949,1.0,1,1.0,0.9206,0.3984,8.6749
p20,s1.cpp,p20,s33.cpp,1,0.9090909090909092,0.9351,1.0,1,0.9576,0.9702,0.2442,5.3501
p20,s1.cpp,p20,s34.cpp,1,0.9465648854961832,0.9545,1.0,1,0.9664,0.9595,0.2847,6.0925
p20,s1.cpp,p20,s35.cpp,1,0.762589928057554,0.8896,0.8142,1,0.9126,0.9625,0.2739,6.0754
p20,s1.cpp,p20,s36.cpp,1,0.9763779527559056,0.958,1.0,1,0.9792,0.9795,0.2025,4.2391
p20,s1.cpp,p20,s37.cpp,1,0.96875,0.9564,1.0,1,0.9752,0.9358,0.3583,7.746
p20,s1.cpp,p20,s38.cpp,1,0.8088235294117647,0.9241,0.8303,1,0.9444,0.9696,0.2467,5.3417
p20,s1.cpp,p20,s39.cpp,1,0.8088235294117647,0.9241,0.8303,1,0.9444,0.9186,0.4035,8.8626
p20,s1.cpp,p20,s40.cpp,1,1.0,0.9661,0.6441,1,1.0,0.954,0.3032,6.7769
p20,s1.cpp,p20,s41.cpp,1,0.9448818897637796,0.9289,0.6612,1,0.9489,0.9552,0.2995,6.447
p20,s1.cpp,p20,s42.cpp,1,0.5846153846153846,0.6194,0.6686,1,0.5384,0.8689,0.512,11.3095
p20,s1.cpp,p20,s43.cpp,1,1.0,1.0,0.6441,1,1.0,0.9413,0.3426,7.4716
p20,s1.cpp,p20,s44.cpp,1,0.7846153846153846,0.8418,0.7106,1,0.7669,0.9454,0.3305,7.1139
p20,s1.cpp,p20,s45.cpp,1,1.0,1.0,0.9716,1,1.0,0.9621,0.2754,6.0225
p20,s1.cpp,p20,s46.cpp,1,0.8099173553719008,0.8049,0.7587,1,0.656,0.9128,0.4176,9.0295
p20,s1.cpp,p20,s47.cpp,1,0.5806451612903226,0.6753,0.6601,1,0.7489,0.8923,0.4641,10.1678
p20,s1.cpp,p20,s48.cpp,1,0.7714285714285715,0.8978,0.6443,1,0.9101,0.9118,0.42,9.28
p20,s1.cpp,p20,s49.cpp,1,1.0,0.9949,0.6478,1,1.0,0.9038,0.4387,9.6667
p42,s1.cpp,p42,s10.cpp,1,1.0,0.963,1.0,1,1.0,1.0,0.0,0.0
p42,s1.cpp,p42,s11.cpp,1,0.920863309352518,0.963,1.0,1,0.9845,0.9972,0.0755,1.6025
p42,s1.cpp,p42,s12.cpp,1,1.0,1.0,1.0,1,1.0,0.9826,0.1863,3.9699
p42,s1.cpp,p42,s13.cpp,1,1.0,0.9953,1.0,1,1.0,0.9951,0.0988,2.0103
p42,s1.cpp,p42,s14.cpp,1,0.978102189781022,0.9615,1.0,1,0.9944,0.9998,0.022,0.4847
p42,s1.cpp,p42,s15.cpp,1,1.0,0.963,1.0,1,1.0,0.9985,0.054,1.1823
p42,s1.cpp,p42,s16.cpp,1,1.0,0.96,1.0,1,1.0,0.9995,0.0311,0.6875
p42,s1.cpp,p42,s17.cpp,1,0.8591549295774648,0.9493,1.0,1,0.9845,0.9977,0.0685,1.4632
p42,s1.cpp,p42,s18.cpp,1,0.978102189781022,0.9615,1.0,1,0.9944,0.9998,0.022,0.4847
p42,s1.cpp,p42,s19.cpp,1,1.0,1.0,1.0,1,0.8996,0.9124,0.4186,4.9305
p42,s1.cpp,p42,s20.cpp,1,1.0,1.0,1.0,1,1.0,0.8886,0.4721,10.2985
p42,s1.cpp,p42,s21.cpp,1,1.0,0.9721,1.0,1,1.0,0.9231,0.3922,8.4897
p42,s1.cpp,p42,s22.cpp,1,1.0,1.0,1.0,1,1.0,0.9275,0.3808,8.4602
p42,s1.cpp,p42,s23.cpp,1,1.0,1.0,1.0,1,1.0,0.9475,0.3242,7.2082
p42,s1.cpp,p42,s24.cpp,1,1.0,1.0,1.0,1,1.0,0.894,0.4604,10.0159
p42,s1.cpp,p42,s25.cpp,1,1.0,0.9721,1.0,1,1.0,0.9074,0.4304,9.5209
p42,s1.cpp,p42,s26.cpp,1,1.0,1.0,1.0,1,1.0,0.9277,0.3804,8.3606
p42,s1.cpp,p42,s27.cpp,1,1.0,0.9691,1.0,1,1.0,0.9172,0.4069,8.7688
p42,s1.cpp,p42,s28.cpp,1,1.0,1.0,1.0,1,1.0,0.9457,0.3295,7.334
p42,s1.cpp,p42,s29.cpp,1,1.0,0.9721,1.0,1,1.0,0.9327,0.3668,8.0391
p42,s1.cpp,p42,s30.cpp,1,0.8391608391608392,0.9161,0.9898,1,0.9242,0.9952,0.0979,2.1045
p42,s1.cpp,p42,s31.cpp,1,0.8391608391608392,0.9161,0.9898,1,0.9242,0.9952,0.0979,2.1045
p42,s1.cpp,p42,s32.cpp,1,0.8275862068965517,0.825,0.8849,1,0.8728,0.8659,0.5178,11.1456
p42,s1.cpp,p42,s33.cpp,1,0.8309859154929577,0.9061,0.9898,1,0.9219,0.9478,0.323,7.1549
p42,s1.cpp,p42,s34.cpp,1,0.8732394366197183,0.9452,0.9876,1,0.9401,0.9938,0.1114,2.3981
p42,s1.cpp,p42,s35.cpp,1,0.782608695652174,0.9102,0.9898,1,0.8848,0.8591,0.5308,11.5782
p42,s1.cpp,p42,s36.cpp,1,0.8811188811188811,0.9303,0.9898,1,0.9468,0.9913,0.1316,2.871
p42,s1.cpp,p42,s37.cpp,1,0.7236842105263158,0.77,0.8897,1,0.8276,0.8627,0.524,11.5522
p42,s1.cpp,p42,s38.cpp,1,0.8391608391608392,0.9083,0.9898,1,0.9318,0.9643,0.2672,5.9123
p42,s1.cpp,p42,s39.cpp,1,0.6712328767123288,0.858,0.9876,1,0.8759,0.854,0.5404,11.9845
p42,s1.cpp,p42,s40.cpp,1,0.6086956521739131,0.7737,0.8943,1,0.7447,0.9678,0.2538,5.562
p42,s1.cpp,p42,s41.cpp,1,0.6710526315789473,0.7602,0.6878,1,0.8876,0.9716,0.2383,4.8799
p42,s1.cpp,p42,s42.cpp,1,0.68,0.7493,0.5245,1,0.8175,0.9404,0.3451,7.5489
