problem_1,file_1,problem_2,file_2,clone_type,true_type_label,pred_type,pred_type_label,S_token,S_AST,S_structure,unixcoder_cosine,unixcoder_l2,unixcoder_manhattan,S_PDG,pdg_valid
p20,s1.cpp,p20,s20.cpp,2,Type-2,2,Type-2,1.0,1.0,1.0,0.9319,0.7303535,0.109428346,1.0,1.0
p20,s1.cpp,p20,s21.cpp,2,Type-2,2,Type-2,1.0,0.9949,1.0,0.9669,0.7954184,0.15038046,1.0,1.0
p20,s1.cpp,p20,s22.cpp,2,Type-2,2,Type-2,1.0,1.0,1.0,0.9497,0.7593014,0.124876685,1.0,1.0
p20,s1.cpp,p20,s23.cpp,2,Type-2,2,Type-2,1.0,1.0,0.9205,0.9217,0.7163837,0.10660413,1.0,1.0
p20,s1.cpp,p20,s24.cpp,2,Type-2,2,Type-2,1.0,0.9949,1.0,0.9444,0.7499625,0.12080651,1.0,1.0
p20,s1.cpp,p20,s25.cpp,2,Type-2,2,Type-2,0.0,0.0,0.1508,0.0,0.4052849,0.034168877,0.0,1.0
p20,s1.cpp,p20,s26.cpp,2,Type-2,2,Type-2,1.0,1.0,0.9205,0.9147,0.70776415,0.09968897,1.0,1.0
p20,s1.cpp,p20,s27.cpp,2,Type-2,2,Type-2,1.0,0.9949,1.0,0.9485,0.75694495,0.12819198,1.0,1.0
p20,s1.cpp,p20,s28.cpp,2,Type-2,2,Type-2,1.0,1.0,1.0,0.9469,0.75426155,0.12689228,1.0,1.0
p20,s1.cpp,p20,s29.cpp,2,Type-2,2,Type-2,1.0,0.9949,1.0,0.9206,0.715103,0.10336024,1.0,1.0
p20,s1.cpp,p20,s30.cpp,3,Type-3,3,Type-3,0.78571427,0.8906,0.9355,0.9857,0.85557836,0.21327874,0.8303,1.0
p20,s1.cpp,p20,s31.cpp,3,Type-3,3,Type-3,0.92537314,0.9264,0.9564,0.9563,0.7717836,0.13661762,1.0,1.0
p20,s1.cpp,p20,s32.cpp,3,Type-3,2,Type-2,1.0,0.9949,1.0,0.9206,0.715103,0.10336024,1.0,1.0
p20,s1.cpp,p20,s33.cpp,3,Type-3,3,Type-3,0.90909094,0.9351,0.9576,0.9702,0.8037293,0.15747784,1.0,1.0
p20,s1.cpp,p20,s34.cpp,3,Type-3,3,Type-3,0.9465649,0.9545,0.9664,0.9595,0.77839184,0.14099401,1.0,1.0
p20,s1.cpp,p20,s35.cpp,3,Type-3,3,Type-3,0.76258993,0.8896,0.9126,0.9625,0.78499097,0.14133477,0.8142,1.0
p20,s1.cpp,p20,s36.cpp,3,Type-3,3,Type-3,0.97637796,0.958,0.9792,0.9795,0.83160084,0.19087248,1.0,1.0
p20,s1.cpp,p20,s37.cpp,3,Type-3,3,Type-3,0.96875,0.9564,0.9752,0.9358,0.7362144,0.11433798,1.0,1.0
p20,s1.cpp,p20,s38.cpp,3,Type-3,3,Type-3,0.8088235,0.9241,0.9444,0.9696,0.8021176,0.15768643,0.8303,1.0
p20,s1.cpp,p20,s39.cpp,3,Type-3,3,Type-3,0.8088235,0.9241,0.9444,0.9186,0.71250445,0.10139314,0.8303,1.0
p20,s1.cpp,p20,s40.cpp,4,Type-4,2,Type-2,0.0,0.0,0.1508,0.0,0.4052849,0.034168877,0.0,1.0
p20,s1.cpp,p20,s41.cpp,4,Type-4,4,Type-4,0.9448819,0.9289,0.9489,0.9552,0.7695267,0.13428226,0.6612,1.0
p20,s1.cpp,p20,s42.cpp,4,Type-4,4,Type-4,0.5846154,0.6194,0.5384,0.8689,0.66137564,0.08123807,0.6686,1.0
p20,s1.cpp,p20,s43.cpp,4,Type-4,4,Type-4,1.0,1.0,1.0,0.9413,0.74482346,0.118041456,0.6441,1.0
p20,s1.cpp,p20,s44.cpp,4,Type-4,4,Type-4,0.7846154,0.8418,0.7669,0.9454,0.75159717,0.12324529,0.7106,1.0
p20,s1.cpp,p20,s45.cpp,4,Type-4,4,Type-4,1.0,1.0,1.0,0.9621,0.78406775,0.14239943,0.9716,1.0
p20,s1.cpp,p20,s46.cpp,4,Type-4,4,Type-4,0.80991733,0.8049,0.656,0.9128,0.70541763,0.09970587,0.7587,1.0
p20,s1.cpp,p20,s47.cpp,4,Type-4,4,Type-4,0.58064514,0.6753,0.7489,0.8923,0.68301344,0.08954315,0.6601,1.0
p20,s1.cpp,p20,s48.cpp,4,Type-4,4,Type-4,0.7714286,0.8978,0.9101,0.9118,0.70422536,0.09727626,0.6443,1.0
p20,s1.cpp,p20,s49.cpp,4,Type-4,4,Type-4,1.0,0.9949,1.0,0.9038,0.69507194,0.09374971,0.6478,1.0
p3,s1.cpp,p3,s10.cpp,1,Type-1,1,Type-1,1.0,0.9926,1.0,0.989,0.8709284,0.23953243,1.0,1.0
p3,s1.cpp,p3,s11.cpp,1,Type-1,1,Type-1,1.0,1.0,0.948,0.9346,0.73437613,0.14949918,1.0,1.0
p3,s1.cpp,p3,s12.cpp,1,Type-1,1,Type-1,1.0,0.9703,1.0,0.9709,0.8055421,0.16485327,1.0,1.0
p3,s1.cpp,p3,s13.cpp,1,Type-1,1,Type-1,1.0,0.9826,0.948,0.9783,0.82767755,0.18767712,1.0,1.0
p3,s1.cpp,p3,s14.cpp,1,Type-1,1,Type-1,1.0,1.0,0.948,0.8301,0.63171196,0.0920268,1.0,1.0
p3,s1.cpp,p3,s15.cpp,1,Type-1,1,Type-1,1.0,0.9926,1.0,0.9928,0.89261806,0.28128603,1.0,1.0
p3,s1.cpp,p3,s16.cpp,1,Type-1,1,Type-1,1.0,1.0,0.948,0.9601,0.7798487,0.14561976,1.0,1.0
p3,s1.cpp,p3,s17.cpp,1,Type-1,1,Type-1,1.0,0.9703,1.0,0.9986,0.9490367,0.45846322,1.0,1.0
p3,s1.cpp,p3,s18.cpp,1,Type-1,1,Type-1,1.0,0.9926,1.0,0.9951,0.91033226,0.32240385,1.0,1.0
p3,s1.cpp,p3,s19.cpp,1,Type-1,1,Type-1,1.0,0.9926,1.0,0.9914,0.88393885,0.25749305,1.0,1.0
p3,s1.cpp,p3,s20.cpp,2,Type-2,2,Type-2,1.0,1.0,1.0,0.8039,0.6149305,0.068106435,1.0,1.0
p3,s1.cpp,p3,s21.cpp,2,Type-2,2,Type-2,1.0,1.0,0.948,0.7644,0.59297913,0.06770389,1.0,1.0
p3,s1.cpp,p3,s22.cpp,2,Type-2,2,Type-2,0.78846157,0.9161,0.8688,0.9868,0.86006707,0.22456266,0.7954,1.0
p3,s1.cpp,p3,s23.cpp,2,Type-2,2,Type-2,0.9074074,0.9333,0.9346,0.7797,0.6010338,0.06550204,1.0,1.0
p3,s1.cpp,p3,s24.cpp,2,Type-2,2,Type-2,0.7387387,0.8381,0.8425,0.8518,0.64750063,0.07683265,0.6817,1.0
p3,s1.cpp,p3,s25.cpp,2,Type-2,2,Type-2,0.6605505,0.8157,0.8184,0.8181,0.6237525,0.07042155,0.52,1.0
p3,s1.cpp,p3,s26.cpp,2,Type-2,2,Type-2,0.8712871,0.963,0.9363,0.7964,0.6104633,0.06702592,0.7954,1.0
p3,s1.cpp,p3,s27.cpp,2,Type-2,2,Type-2,0.5833333,0.7051,0.7975,0.8494,0.6456612,0.07551672,0.7121,1.0
p3,s1.cpp,p3,s28.cpp,2,Type-2,2,Type-2,1.0,0.9926,1.0,0.8271,0.6297229,0.072252244,1.0,1.0
p3,s1.cpp,p3,s29.cpp,2,Type-2,2,Type-2,0.6857143,0.8043,0.7405,0.9378,0.7392622,0.115578875,0.0,0.0
p3,s1.cpp,p3,s30.cpp,3,Type-3,3,Type-3,0.7692308,0.9294,0.9,0.987,0.86095566,0.22498201,0.7954,1.0
p3,s1.cpp,p3,s31.cpp,3,Type-3,3,Type-3,0.9074074,0.9311,0.9346,0.9864,0.85851645,0.21736296,1.0,1.0
p3,s1.cpp,p3,s32.cpp,3,Type-3,3,Type-3,0.8288288,0.899,0.8869,0.9926,0.89158344,0.27343324,0.7811,1.0
p3,s1.cpp,p3,s33.cpp,3,Type-3,3,Type-3,0.815534,0.9415,0.8737,0.7971,0.6108735,0.06637726,0.7856,1.0
p3,s1.cpp,p3,s34.cpp,3,Type-3,3,Type-3,0.96153843,0.9469,0.9454,0.8444,0.64193094,0.077033885,1.0,1.0
p3,s1.cpp,p3,s35.cpp,3,Type-3,3,Type-3,0.7962963,0.907,0.8446,0.8586,0.6528267,0.079199135,0.7952,1.0
p3,s1.cpp,p3,s36.cpp,3,Type-3,3,Type-3,0.89908254,0.9417,0.9209,0.8946,0.685307,0.090670876,1.0,1.0
p3,s1.cpp,p3,s37.cpp,3,Type-3,3,Type-3,0.86238533,0.8926,0.8749,0.8346,0.63484,0.073343895,1.0,1.0
p3,s1.cpp,p3,s38.cpp,3,Type-3,3,Type-3,0.7407407,0.8967,0.844,0.9129,0.70556694,0.09884744,0.929,1.0
p3,s1.cpp,p3,s39.cpp,3,Type-3,3,Type-3,0.8712871,0.963,0.9363,0.8234,0.6272345,0.07099298,0.7954,1.0
p3,s1.cpp,p3,s40.cpp,4,Type-4,4,Type-4,0.7387387,0.8381,0.8425,0.8714,0.663526,0.081469715,0.6817,1.0
p3,s1.cpp,p3,s41.cpp,4,Type-4,4,Type-4,0.5833333,0.7051,0.7975,0.7761,0.5990894,0.062274642,0.7121,1.0
p3,s1.cpp,p3,s42.cpp,4,Type-4,4,Type-4,0.6605505,0.8157,0.8184,0.8136,0.6209252,0.06998587,0.52,1.0
p3,s1.cpp,p3,s43.cpp,4,Type-4,4,Type-4,0.5038168,0.6936,0.7318,0.8154,0.6220066,0.07224494,0.7211,1.0
p3,s1.cpp,p3,s44.cpp,4,Type-4,4,Type-4,0.63247865,0.808,0.732,0.8489,0.64524454,0.07713014,0.6882,1.0
p3,s1.cpp,p3,s45.cpp,4,Type-4,4,Type-4,0.6037736,0.8029,0.8054,0.8165,0.6227038,0.07154355,0.5217,1.0
p3,s1.cpp,p3,s46.cpp,4,Type-4,4,Type-4,0.58928573,0.7703,0.7418,0.7938,0.60893923,0.066113956,0.7112,1.0
p3,s1.cpp,p3,s47.cpp,4,Type-4,4,Type-4,0.5423729,0.6774,0.7473,0.8043,0.6151575,0.07196626,0.6701,1.0
p3,s1.cpp,p3,s48.cpp,4,Type-4,4,Type-4,0.6666667,0.8247,0.7938,0.8108,0.6191184,0.069541514,0.52,1.0
p3,s1.cpp,p3,s49.cpp,4,Type-4,4,Type-4,0.56565654,0.7184,0.7929,0.7529,0.5871646,0.060177162,0.62,1.0
p322,s1.cpp,p322,s10.cpp,1,Type-1,1,Type-1,1.0,0.9608,1.0,0.9991,0.9596008,0.5243289,1.0,1.0
p322,s1.cpp,p322,s11.cpp,1,Type-1,1,Type-1,0.9142857,0.9686,1.0,0.9946,0.90587914,0.30266345,1.0,1.0
p322,s1.cpp,p322,s12.cpp,1,Type-1,1,Type-1,1.0,1.0,1.0,0.9959,0.91675836,0.34553057,1.0,1.0
p322,s1.cpp,p322,s13.cpp,1,Type-1,1,Type-1,1.0,0.9941,1.0,0.9955,0.9130752,0.32899067,1.0,1.0
p322,s1.cpp,p322,s14.cpp,1,Type-1,1,Type-1,1.0,0.9646,1.0,1.0,1.0,1.0,1.0,1.0
p322,s1.cpp,p322,s15.cpp,1,Type-1,1,Type-1,1.0,0.9803,1.0,0.9987,0.95129377,0.4724112,1.0,1.0
p322,s1.cpp,p322,s16.cpp,1,Type-1,1,Type-1,1.0,0.9705,1.0,0.9934,0.89686096,0.28597575,1.0,1.0
p322,s1.cpp,p322,s17.cpp,1,Type-1,1,Type-1,0.8873239,0.9437,0.9881,0.9974,0.93309695,0.41194645,1.0,1.0
p322,s1.cpp,p322,s18.cpp,1,Type-1,1,Type-1,0.9714286,0.9608,0.9881,0.9981,0.9424182,0.43318173,1.0,1.0
p322,s1.cpp,p322,s19.cpp,1,Type-1,1,Type-1,1.0,0.9803,1.0,0.9958,0.9161704,0.3330447,1.0,1.0
p322,s1.cpp,p322,s20.cpp,2,Type-2,2,Type-2,1.0,1.0,1.0,0.8555,0.6504065,0.077901036,1.0,1.0
p322,s1.cpp,p322,s21.cpp,2,Type-2,2,Type-2,1.0,0.9842,1.0,0.8794,0.67064583,0.084590204,1.0,1.0
p322,s1.cpp,p322,s22.cpp,2,Type-2,2,Type-2,1.0,1.0,1.0,0.866,0.65884835,0.08313381,1.0,1.0
p322,s1.cpp,p322,s23.cpp,2,Type-2,2,Type-2,1.0,1.0,1.0,0.8797,0.67096084,0.08561717,1.0,1.0
p322,s1.cpp,p322,s24.cpp,2,Type-2,2,Type-2,1.0,1.0,1.0,0.7906,0.60712767,0.06548188,1.0,1.0
p322,s1.cpp,p322,s25.cpp,2,Type-2,2,Type-2,1.0,0.9803,1.0,0.8936,0.684369,0.08839232,1.0,1.0
p322,s1.cpp,p322,s26.cpp,2,Type-2,2,Type-2,1.0,1.0,1.0,0.8334,0.634035,0.07227209,1.0,1.0
p322,s1.cpp,p322,s27.cpp,2,Type-2,2,Type-2,1.0,0.9744,1.0,0.873,0.6648936,0.083248004,1.0,1.0
p322,s1.cpp,p322,s28.cpp,2,Type-2,2,Type-2,1.0,1.0,1.0,0.8482,0.64474535,0.07560636,1.0,1.0
p322,s1.cpp,p322,s29.cpp,2,Type-2,2,Type-2,1.0,0.9803,1.0,0.8636,0.6569439,0.08075,1.0,1.0
p322,s1.cpp,p322,s30.cpp,3,Type-3,3,Type-3,0.8740741,0.8238,0.9512,0.9888,0.86971647,0.22977413,1.0,1.0
p322,s1.cpp,p322,s31.cpp,3,Type-3,3,Type-3,0.87323946,0.9572,0.9269,0.9831,0.8447373,0.19613996,1.0,1.0
p322,s1.cpp,p322,s32.cpp,3,Type-3,3,Type-3,0.8142857,0.9548,0.8795,0.8815,0.6725402,0.08493507,1.0,1.0
p322,s1.cpp,p322,s33.cpp,3,Type-3,3,Type-3,0.91156465,0.9111,0.9356,0.9119,0.70437413,0.098111354,1.0,1.0
p322,s1.cpp,p322,s34.cpp,3,Type-3,3,Type-3,0.95652175,0.9336,0.9502,0.9813,0.837942,0.18948725,1.0,1.0
p322,s1.cpp,p322,s35.cpp,3,Type-3,3,Type-3,0.8740741,0.8238,0.9512,0.8793,0.6705559,0.08449586,1.0,1.0
p322,s1.cpp,p322,s36.cpp,3,Type-3,3,Type-3,0.89361703,0.8803,0.8947,0.9623,0.78455985,0.14442936,1.0,1.0
p322,s1.cpp,p322,s37.cpp,3,Type-3,3,Type-3,0.8652482,0.9339,0.9095,0.9136,0.70636433,0.10039354,1.0,1.0
p322,s1.cpp,p322,s38.cpp,3,Type-3,3,Type-3,0.80794704,0.8825,0.8722,0.8213,0.6258606,0.071600415,1.0,1.0
p322,s1.cpp,p322,s39.cpp,3,Type-3,3,Type-3,0.6099291,0.8226,0.8683,0.838,0.63722676,0.073065236,1.0,1.0
p322,s1.cpp,p322,s40.cpp,4,Type-4,4,Type-4,0.28025478,0.677,0.7122,0.8568,0.65138096,0.077352084,0.5081,1.0
p322,s1.cpp,p322,s41.cpp,4,Type-4,4,Type-4,0.3432836,0.576,0.6998,0.8079,0.6173602,0.0685448,0.5506,1.0
p322,s1.cpp,p322,s42.cpp,4,Type-4,4,Type-4,0.8503937,0.8051,0.9136,0.9847,0.85128117,0.20627062,0.5592,1.0
p322,s1.cpp,p322,s43.cpp,4,Type-4,4,Type-4,0.2753623,0.6198,0.7219,0.7716,0.5966943,0.06217011,0.4419,1.0
p322,s1.cpp,p322,s44.cpp,4,Type-4,4,Type-4,0.44067797,0.6303,0.787,0.8514,0.6471654,0.07708079,0.3952,1.0
p322,s1.cpp,p322,s45.cpp,4,Type-4,4,Type-4,0.43537414,0.6813,0.787,0.841,0.63942707,0.07403842,0.6329,1.0
p322,s1.cpp,p322,s46.cpp,4,Type-4,4,Type-4,0.7671233,0.7938,0.8952,0.8868,0.6775986,0.08686588,1.0,1.0
p322,s1.cpp,p322,s47.cpp,4,Type-4,4,Type-4,0.29139072,0.6667,0.7349,0.7929,0.60842055,0.06575097,0.4267,1.0
p322,s1.cpp,p322,s48.cpp,4,Type-4,4,Type-4,0.829932,0.811,0.9014,0.8119,0.6198091,0.06836064,0.3577,1.0
p322,s1.cpp,p322,s49.cpp,4,Type-4,4,Type-4,0.2658228,0.6401,0.7415,0.8207,0.62543,0.07033882,0.4378,1.0
p42,s1.cpp,p42,s10.cpp,1,Type-1,1,Type-1,1.0,0.963,1.0,1.0,1.0,1.0,1.0,1.0
p42,s1.cpp,p42,s11.cpp,1,Type-1,1,Type-1,0.92086333,0.963,0.9845,0.9972,0.9298001,0.38424593,1.0,1.0
p42,s1.cpp,p42,s12.cpp,1,Type-1,1,Type-1,1.0,1.0,1.0,0.9826,0.8429571,0.20121129,1.0,1.0
p42,s1.cpp,p42,s13.cpp,1,Type-1,1,Type-1,1.0,0.9953,1.0,0.9951,0.9100837,0.3321928,1.0,1.0
p42,s1.cpp,p42,s14.cpp,1,Type-1,1,Type-1,0.9781022,0.9615,0.9944,0.9998,0.9784736,0.6735367,1.0,1.0
p42,s1.cpp,p42,s15.cpp,1,Type-1,1,Type-1,1.0,0.963,1.0,0.9985,0.9487666,0.45823213,1.0,1.0
p42,s1.cpp,p42,s16.cpp,1,Type-1,1,Type-1,1.0,0.96,1.0,0.9995,0.969838,0.5925926,1.0,1.0
p42,s1.cpp,p42,s17.cpp,1,Type-1,1,Type-1,0.85915494,0.9493,0.9845,0.9977,0.93589145,0.40597597,1.0,1.0
p42,s1.cpp,p42,s18.cpp,1,Type-1,1,Type-1,0.9781022,0.9615,0.9944,0.9998,0.9784736,0.6735367,1.0,1.0
p42,s1.cpp,p42,s19.cpp,1,Type-1,1,Type-1,1.0,1.0,0.8996,0.9124,0.70492035,0.16861984,1.0,1.0
p42,s1.cpp,p42,s20.cpp,2,Type-2,2,Type-2,1.0,1.0,1.0,0.8886,0.6793017,0.088507324,1.0,1.0
p42,s1.cpp,p42,s21.cpp,2,Type-2,2,Type-2,1.0,0.9721,1.0,0.9231,0.7182876,0.105377406,1.0,1.0
p42,s1.cpp,p42,s22.cpp,2,Type-2,2,Type-2,1.0,1.0,1.0,0.9275,0.72421783,0.105706014,1.0,1.0
p42,s1.cpp,p42,s23.cpp,2,Type-2,2,Type-2,1.0,1.0,1.0,0.9475,0.7551729,0.12182939,1.0,1.0
p42,s1.cpp,p42,s24.cpp,2,Type-2,2,Type-2,1.0,1.0,1.0,0.894,0.6847439,0.090777874,1.0,1.0
p42,s1.cpp,p42,s25.cpp,2,Type-2,2,Type-2,1.0,0.9721,1.0,0.9074,0.69910514,0.095048904,1.0,1.0
p42,s1.cpp,p42,s26.cpp,2,Type-2,2,Type-2,1.0,1.0,1.0,0.9277,0.7244277,0.10683076,1.0,1.0
p42,s1.cpp,p42,s27.cpp,2,Type-2,2,Type-2,1.0,0.9691,1.0,0.9172,0.7107826,0.102366716,1.0,1.0
p42,s1.cpp,p42,s28.cpp,2,Type-2,2,Type-2,1.0,1.0,1.0,0.9457,0.75216246,0.1199904,1.0,1.0
p42,s1.cpp,p42,s29.cpp,2,Type-2,2,Type-2,1.0,0.9721,1.0,0.9327,0.7316359,0.11063048,1.0,1.0
p42,s1.cpp,p42,s30.cpp,3,Type-3,3,Type-3,0.83916086,0.9161,0.9242,0.9952,0.9108298,0.32211307,0.9898,1.0
p42,s1.cpp,p42,s31.cpp,3,Type-3,3,Type-3,0.83916086,0.9161,0.9242,0.9952,0.9108298,0.32211307,0.9898,1.0
p42,s1.cpp,p42,s32.cpp,3,Type-3,3,Type-3,0.82758623,0.825,0.8728,0.8659,0.65884835,0.08233434,0.8849,1.0
p42,s1.cpp,p42,s33.cpp,3,Type-3,3,Type-3,0.8309859,0.9061,0.9219,0.9478,0.7558579,0.122625664,0.9898,1.0
p42,s1.cpp,p42,s34.cpp,3,Type-3,3,Type-3,0.87323946,0.9452,0.9401,0.9938,0.8997661,0.2942821,0.9876,1.0
p42,s1.cpp,p42,s35.cpp,3,Type-3,3,Type-3,0.7826087,0.9102,0.8848,0.8591,0.6532532,0.079502635,0.9898,1.0
p42,s1.cpp,p42,s36.cpp,3,Type-3,3,Type-3,0.8811189,0.9303,0.9468,0.9913,0.8837045,0.25833118,0.9898,1.0
p42,s1.cpp,p42,s37.cpp,3,Type-3,3,Type-3,0.7236842,0.77,0.8276,0.8627,0.656168,0.07966731,0.8897,1.0
