Problem,Cluster_ID,Cluster_Size,Files,Pair_Relationships,Avg_Probability,Graph_Density,Confidence
p10,32,32,"s1.cpp, s10.cpp, s11.cpp, s12.cpp, s13.cpp, s14.cpp, s15.cpp, s16.cpp, s17.cpp, s18.cpp, s19.cpp, s20.cpp, s21.cpp, s22.cpp, s23.cpp, s24.cpp, s25.cpp, s26.cpp, s27.cpp, s28.cpp, s29.cpp, s30.cpp, s31.cpp, s32.cpp, s33.cpp, s34.cpp, s35.cpp, s36.cpp, s37.cpp, s38.cpp, s39.cpp, s41.cpp","s34.cpp - s1.cpp (Type-3, 0.999) | s39.cpp - s1.cpp (Type-3, 0.993) | s35.cpp - s1.cpp (Type-4, 0.995) | s11.cpp - s1.cpp (Type-1, 0.999) | s28.cpp - s1.cpp (Type-3, 0.998) | s41.cpp - s1.cpp (Type-4, 0.976) | s31.cpp - s1.cpp (Type-3, 0.994) | s22.cpp - s1.cpp (Type-3, 0.997) | s24.cpp - s1.cpp (Type-2, 0.998) | s38.cpp - s1.cpp (Type-3, 0.997) | s25.cpp - s1.cpp (Type-3, 0.997) | s33.cpp - s1.cpp (Type-3, 0.995) | s18.cpp - s1.cpp (Type-1, 1.0) | s14.cpp - s1.cpp (Type-1, 0.998) | s29.cpp - s1.cpp (Type-2, 0.997) | s17.cpp - s1.cpp (Type-1, 1.0) | s16.cpp - s1.cpp (Type-1, 1.0) | s13.cpp - s1.cpp (Type-1, 1.0) | s36.cpp - s1.cpp (Type-3, 0.994) | s20.cpp - s1.cpp (Type-2, 0.997) | s1.cpp - s10.cpp (Type-1, 1.0) | s1.cpp - s12.cpp (Type-1, 1.0) | s1.cpp - s15.cpp (Type-1, 1.0) | s1.cpp - s19.cpp (Type-1, 1.0) | s1.cpp - s21.cpp (Type-3, 0.995) | s1.cpp - s23.cpp (Type-2, 0.998) | s1.cpp - s26.cpp (Type-3, 0.996) | s1.cpp - s27.cpp (Type-3, 0.997) | s1.cpp - s30.cpp (Type-3, 0.998) | s1.cpp - s32.cpp (Type-3, 0.998) | s1.cpp - s37.cpp (Type-3, 0.989)",0.997,0.062,MEDIUM
p10,33,1,s44.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p10,34,1,s47.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p10,35,1,s45.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p10,36,1,s48.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p10,37,1,s43.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p10,38,1,s42.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p10,39,1,s46.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p10,40,1,s40.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p20,41,39,"s1.cpp, s10.cpp, s11.cpp, s12.cpp, s13.cpp, s14.cpp, s15.cpp, s16.cpp, s17.cpp, s18.cpp, s19.cpp, s20.cpp, s21.cpp, s22.cpp, s23.cpp, s24.cpp, s25.cpp, s26.cpp, s27.cpp, s28.cpp, s29.cpp, s30.cpp, s31.cpp, s32.cpp, s33.cpp, s34.cpp, s35.cpp, s36.cpp, s37.cpp, s38.cpp, s39.cpp, s40.cpp, s41.cpp, s43.cpp, s44.cpp, s45.cpp, s46.cpp, s48.cpp, s49.cpp","s49.cpp - s1.cpp (Type-4, 0.997) | s34.cpp - s1.cpp (Type-3, 0.998) | s39.cpp - s1.cpp (Type-3, 0.992) | s35.cpp - s1.cpp (Type-3, 0.994) | s11.cpp - s1.cpp (Type-1, 0.999) | s28.cpp - s1.cpp (Type-2, 0.999) | s44.cpp - s1.cpp (Type-4, 0.992) | s41.cpp - s1.cpp (Type-4, 0.997) | s31.cpp - s1.cpp (Type-3, 0.998) | s22.cpp - s1.cpp (Type-2, 0.999) | s24.cpp - s1.cpp (Type-2, 0.998) | s38.cpp - s1.cpp (Type-3, 0.996) | s25.cpp - s1.cpp (Type-2, 0.998) | s33.cpp - s1.cpp (Type-3, 0.998) | s18.cpp - s1.cpp (Type-1, 1.0) | s14.cpp - s1.cpp (Type-1, 0.999) | s29.cpp - s1.cpp (Type-2, 0.998) | s17.cpp - s1.cpp (Type-1, 1.0) | s16.cpp - s1.cpp (Type-1, 1.0) | s13.cpp - s1.cpp (Type-1, 1.0) | s36.cpp - s1.cpp (Type-3, 0.999) | s45.cpp - s1.cpp (Type-4, 0.999) | s20.cpp - s1.cpp (Type-2, 0.998) | s48.cpp - s1.cpp (Type-4, 0.988) | s1.cpp - s10.cpp (Type-1, 1.0) | s1.cpp - s12.cpp (Type-1, 1.0) | s1.cpp - s15.cpp (Type-1, 1.0) | s1.cpp - s19.cpp (Type-1, 0.999) | s1.cpp - s21.cpp (Type-2, 0.999) | s1.cpp - s23.cpp (Type-2, 0.998) | s1.cpp - s26.cpp (Type-2, 0.998) | s1.cpp - s27.cpp (Type-2, 0.999) | s1.cpp - s30.cpp (Type-3, 0.998) | s1.cpp - s32.cpp (Type-2, 0.998) | s1.cpp - s37.cpp (Type-3, 0.998) | s1.cpp - s40.cpp (Type-4, 0.998) | s1.cpp - s43.cpp (Type-4, 0.998) | s1.cpp - s46.cpp (Type-4, 0.991)",0.998,0.051,MEDIUM
p20,42,1,s47.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p20,43,1,s42.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p42,44,1,s49.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p42,45,35,"s1.cpp, s10.cpp, s11.cpp, s12.cpp, s13.cpp, s14.cpp, s15.cpp, s16.cpp, s17.cpp, s18.cpp, s19.cpp, s20.cpp, s21.cpp, s22.cpp, s23.cpp, s24.cpp, s25.cpp, s26.cpp, s27.cpp, s28.cpp, s29.cpp, s30.cpp, s31.cpp, s32.cpp, s33.cpp, s34.cpp, s35.cpp, s36.cpp, s37.cpp, s38.cpp, s39.cpp, s40.cpp, s41.cpp, s42.cpp, s44.cpp","s34.cpp - s1.cpp (Type-3, 1.0) | s39.cpp - s1.cpp (Type-3, 0.979) | s35.cpp - s1.cpp (Type-3, 0.989) | s11.cpp - s1.cpp (Type-1, 1.0) | s28.cpp - s1.cpp (Type-2, 0.998) | s44.cpp - s1.cpp (Type-4, 0.976) | s41.cpp - s1.cpp (Type-4, 0.989) | s31.cpp - s1.cpp (Type-3, 1.0) | s22.cpp - s1.cpp (Type-2, 0.998) | s24.cpp - s1.cpp (Type-2, 0.997) | s38.cpp - s1.cpp (Type-3, 0.997) | s25.cpp - s1.cpp (Type-2, 0.997) | s33.cpp - s1.cpp (Type-3, 0.996) | s18.cpp - s1.cpp (Type-1, 1.0) | s14.cpp - s1.cpp (Type-1, 1.0) | s29.cpp - s1.cpp (Type-2, 0.998) | s17.cpp - s1.cpp (Type-1, 1.0) | s16.cpp - s1.cpp (Type-1, 1.0) | s13.cpp - s1.cpp (Type-1, 1.0) | s36.cpp - s1.cpp (Type-3, 0.999) | s20.cpp - s1.cpp (Type-2, 0.997) | s1.cpp - s10.cpp (Type-1, 1.0) | s1.cpp - s12.cpp (Type-1, 0.999) | s1.cpp - s15.cpp (Type-1, 1.0) | s1.cpp - s19.cpp (Type-1, 0.999) | s1.cpp - s21.cpp (Type-2, 0.998) | s1.cpp - s23.cpp (Type-2, 0.998) | s1.cpp - s26.cpp (Type-2, 0.998) | s1.cpp - s27.cpp (Type-2, 0.998) | s1.cpp - s30.cpp (Type-3, 1.0) | s1.cpp - s32.cpp (Type-3, 0.989) | s1.cpp - s37.cpp (Type-3, 0.978) | s1.cpp - s40.cpp (Type-4, 0.988) | s1.cpp - s42.cpp (Type-4, 0.978)",0.995,0.057,MEDIUM
p42,46,1,s47.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p42,47,1,s45.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p42,48,1,s48.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p42,49,1,s43.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p42,50,1,s46.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p45,51,37,"s1.cpp, s10.cpp, s11.cpp, s12.cpp, s13.cpp, s14.cpp, s15.cpp, s16.cpp, s17.cpp, s18.cpp, s19.cpp, s20.cpp, s21.cpp, s22.cpp, s23.cpp, s24.cpp, s25.cpp, s26.cpp, s27.cpp, s28.cpp, s29.cpp, s30.cpp, s31.cpp, s32.cpp, s33.cpp, s34.cpp, s35.cpp, s36.cpp, s37.cpp, s38.cpp, s39.cpp, s40.cpp, s43.cpp, s46.cpp, s47.cpp, s48.cpp, s49.cpp","s49.cpp - s1.cpp (Type-4, 0.978) | s34.cpp - s1.cpp (Type-3, 0.998) | s39.cpp - s1.cpp (Type-3, 0.99) | s35.cpp - s1.cpp (Type-3, 0.998) | s11.cpp - s1.cpp (Type-1, 1.0) | s28.cpp - s1.cpp (Type-2, 0.994) | s31.cpp - s1.cpp (Type-3, 0.991) | s22.cpp - s1.cpp (Type-2, 0.997) | s24.cpp - s1.cpp (Type-2, 0.998) | s38.cpp - s1.cpp (Type-3, 1.0) | s25.cpp - s1.cpp (Type-2, 0.997) | s33.cpp - s1.cpp (Type-3, 0.998) | s18.cpp - s1.cpp (Type-1, 1.0) | s14.cpp - s1.cpp (Type-1, 0.998) | s29.cpp - s1.cpp (Type-2, 0.997) | s17.cpp - s1.cpp (Type-1, 1.0) | s16.cpp - s1.cpp (Type-1, 1.0) | s13.cpp - s1.cpp (Type-1, 1.0) | s36.cpp - s1.cpp (Type-3, 0.999) | s47.cpp - s1.cpp (Type-4, 0.994) | s20.cpp - s1.cpp (Type-2, 0.997) | s48.cpp - s1.cpp (Type-4, 0.986) | s1.cpp - s10.cpp (Type-1, 1.0) | s1.cpp - s12.cpp (Type-1, 1.0) | s1.cpp - s15.cpp (Type-1, 1.0) | s1.cpp - s19.cpp (Type-1, 1.0) | s1.cpp - s21.cpp (Type-2, 0.997) | s1.cpp - s23.cpp (Type-2, 0.999) | s1.cpp - s26.cpp (Type-2, 0.998) | s1.cpp - s27.cpp (Type-2, 0.999) | s1.cpp - s30.cpp (Type-3, 0.999) | s1.cpp - s32.cpp (Type-3, 0.998) | s1.cpp - s37.cpp (Type-3, 0.995) | s1.cpp - s40.cpp (Type-4, 0.991) | s1.cpp - s43.cpp (Type-4, 0.987) | s1.cpp - s46.cpp (Type-4, 0.991)",0.996,0.054,MEDIUM
p45,52,1,s44.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p45,53,1,s41.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p45,54,1,s45.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p45,55,1,s42.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p53,56,1,s49.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p53,57,36,"s1.cpp, s10.cpp, s11.cpp, s12.cpp, s13.cpp, s14.cpp, s15.cpp, s16.cpp, s17.cpp, s18.cpp, s19.cpp, s20.cpp, s21.cpp, s22.cpp, s23.cpp, s24.cpp, s25.cpp, s26.cpp, s27.cpp, s28.cpp, s29.cpp, s30.cpp, s31.cpp, s32.cpp, s33.cpp, s34.cpp, s35.cpp, s36.cpp, s37.cpp, s38.cpp, s39.cpp, s40.cpp, s41.cpp, s43.cpp, s45.cpp, s48.cpp","s34.cpp - s1.cpp (Type-3, 0.998) | s39.cpp - s1.cpp (Type-3, 0.984) | s35.cpp - s1.cpp (Type-3, 0.99) | s11.cpp - s1.cpp (Type-1, 1.0) | s28.cpp - s1.cpp (Type-2, 0.998) | s41.cpp - s1.cpp (Type-4, 0.988) | s31.cpp - s1.cpp (Type-3, 0.995) | s22.cpp - s1.cpp (Type-2, 0.998) | s24.cpp - s1.cpp (Type-2, 0.998) | s38.cpp - s1.cpp (Type-3, 0.984) | s25.cpp - s1.cpp (Type-2, 0.992) | s33.cpp - s1.cpp (Type-3, 0.995) | s18.cpp - s1.cpp (Type-1, 1.0) | s14.cpp - s1.cpp (Type-1, 1.0) | s29.cpp - s1.cpp (Type-2, 0.986) | s17.cpp - s1.cpp (Type-1, 0.999) | s16.cpp - s1.cpp (Type-1, 1.0) | s13.cpp - s1.cpp (Type-1, 1.0) | s36.cpp - s1.cpp (Type-3, 0.985) | s45.cpp - s1.cpp (Type-4, 0.996) | s20.cpp - s1.cpp (Type-2, 0.999) | s48.cpp - s1.cpp (Type-4, 0.996) | s1.cpp - s10.cpp (Type-1, 0.999) | s1.cpp - s12.cpp (Type-1, 0.999) | s1.cpp - s15.cpp (Type-1, 1.0) | s1.cpp - s19.cpp (Type-1, 1.0) | s1.cpp - s21.cpp (Type-2, 0.996) | s1.cpp - s23.cpp (Type-2, 0.999) | s1.cpp - s26.cpp (Type-2, 0.998) | s1.cpp - s27.cpp (Type-2, 0.998) | s1.cpp - s30.cpp (Type-3, 0.992) | s1.cpp - s32.cpp (Type-3, 0.992) | s1.cpp - s37.cpp (Type-3, 0.991) | s1.cpp - s40.cpp (Type-4, 0.979) | s1.cpp - s43.cpp (Type-4, 0.997)",0.995,0.056,MEDIUM
p53,58,1,s44.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p53,59,1,s47.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p53,60,1,s42.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p53,61,1,s46.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p70,62,1,s49.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p70,63,32,"s1.cpp, s10.cpp, s11.cpp, s12.cpp, s13.cpp, s14.cpp, s15.cpp, s16.cpp, s17.cpp, s18.cpp, s19.cpp, s20.cpp, s21.cpp, s22.cpp, s23.cpp, s24.cpp, s25.cpp, s26.cpp, s27.cpp, s28.cpp, s29.cpp, s30.cpp, s31.cpp, s32.cpp, s33.cpp, s34.cpp, s35.cpp, s36.cpp, s37.cpp, s38.cpp, s39.cpp, s42.cpp","s34.cpp - s1.cpp (Type-3, 0.999) | s39.cpp - s1.cpp (Type-3, 0.994) | s35.cpp - s1.cpp (Type-3, 0.991) | s11.cpp - s1.cpp (Type-1, 1.0) | s28.cpp - s1.cpp (Type-2, 0.997) | s31.cpp - s1.cpp (Type-3, 0.997) | s22.cpp - s1.cpp (Type-2, 0.997) | s24.cpp - s1.cpp (Type-2, 0.999) | s38.cpp - s1.cpp (Type-3, 0.991) | s25.cpp - s1.cpp (Type-2, 0.996) | s33.cpp - s1.cpp (Type-3, 0.997) | s18.cpp - s1.cpp (Type-1, 1.0) | s14.cpp - s1.cpp (Type-1, 0.999) | s29.cpp - s1.cpp (Type-2, 0.996) | s17.cpp - s1.cpp (Type-1, 1.0) | s16.cpp - s1.cpp (Type-1, 1.0) | s13.cpp - s1.cpp (Type-1, 1.0) | s36.cpp - s1.cpp (Type-3, 0.997) | s20.cpp - s1.cpp (Type-2, 0.997) | s1.cpp - s10.cpp (Type-1, 1.0) | s1.cpp - s12.cpp (Type-1, 1.0) | s1.cpp - s15.cpp (Type-1, 1.0) | s1.cpp - s19.cpp (Type-1, 1.0) | s1.cpp - s21.cpp (Type-2, 0.997) | s1.cpp - s23.cpp (Type-2, 0.997) | s1.cpp - s26.cpp (Type-2, 0.998) | s1.cpp - s27.cpp (Type-2, 0.997) | s1.cpp - s30.cpp (Type-3, 1.0) | s1.cpp - s32.cpp (Type-3, 0.995) | s1.cpp - s37.cpp (Type-3, 0.992) | s1.cpp - s42.cpp (Type-4, 0.971)",0.997,0.062,MEDIUM
p70,64,1,s44.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p70,65,1,s41.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p70,66,1,s47.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p70,67,1,s45.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p70,68,1,s48.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p70,69,1,s43.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p70,70,1,s46.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p70,71,1,s40.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p3093,72,1,s49.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p3093,73,32,"s1.cpp, s10.cpp, s11.cpp, s12.cpp, s13.cpp, s14.cpp, s15.cpp, s16.cpp, s17.cpp, s18.cpp, s19.cpp, s20.cpp, s21.cpp, s22.cpp, s23.cpp, s24.cpp, s25.cpp, s26.cpp, s27.cpp, s28.cpp, s29.cpp, s30.cpp, s31.cpp, s32.cpp, s33.cpp, s34.cpp, s35.cpp, s36.cpp, s37.cpp, s38.cpp, s39.cpp, s41.cpp","s34.cpp - s1.cpp (Type-3, 0.998) | s39.cpp - s1.cpp (Type-2, 0.997) | s35.cpp - s1.cpp (Type-3, 0.996) | s11.cpp - s1.cpp (Type-1, 1.0) | s28.cpp - s1.cpp (Type-2, 0.997) | s41.cpp - s1.cpp (Type-4, 0.97) | s31.cpp - s1.cpp (Type-3, 0.999) | s22.cpp - s1.cpp (Type-2, 0.997) | s24.cpp - s1.cpp (Type-2, 0.997) | s38.cpp - s1.cpp (Type-3, 0.998) | s25.cpp - s1.cpp (Type-2, 0.997) | s33.cpp - s1.cpp (Type-3, 0.996) | s18.cpp - s1.cpp (Type-1, 1.0) | s14.cpp - s1.cpp (Type-1, 1.0) | s29.cpp - s1.cpp (Type-2, 0.997) | s17.cpp - s1.cpp (Type-1, 1.0) | s16.cpp - s1.cpp (Type-1, 1.0) | s13.cpp - s1.cpp (Type-1, 1.0) | s36.cpp - s1.cpp (Type-3, 0.998) | s20.cpp - s1.cpp (Type-2, 0.998) | s1.cpp - s10.cpp (Type-1, 1.0) | s1.cpp - s12.cpp (Type-1, 1.0) | s1.cpp - s15.cpp (Type-1, 1.0) | s1.cpp - s19.cpp (Type-1, 1.0) | s1.cpp - s21.cpp (Type-1, 0.997) | s1.cpp - s23.cpp (Type-2, 0.997) | s1.cpp - s26.cpp (Type-2, 0.997) | s1.cpp - s27.cpp (Type-2, 0.997) | s1.cpp - s30.cpp (Type-3, 0.995) | s1.cpp - s32.cpp (Type-3, 0.994) | s1.cpp - s37.cpp (Type-3, 0.995)",0.997,0.062,MEDIUM
p3093,74,1,s44.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p3093,75,1,s47.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
p3093,76,1,s45.cpp,N/A — no clone pair detected,0.0,0.0,UNIQUE — no clone found
